ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
4150,22124,12134,-34,-62,-6,23720,4786,5076,-25,25,4,0,0,0,0,0,0,0,0,0,0,0,0
4144,21944,12160,-14,-62,-5,23776,4858,5158,-18,16,7,0,0,0,0,0,0,0,0,0,0,0,0
4222,21882,12070,7,-61,-8,23802,4840,5066,-20,21,1,0,0,0,0,0,0,0,0,0,0,0,0
4154,21988,12258,30,-57,-8,23782,4818,5068,-27,29,2,0,0,0,0,0,0,0,0,0,0,0,0
4120,22176,12260,47,-58,-6,23702,4808,5136,-30,28,2,0,0,0,0,0,0,0,0,0,0,0,0
4152,22238,12166,6,-60,-7,23760,4762,5110,-24,25,1,0,0,0,0,0,0,0,0,0,0,0,0
4218,22036,12130,-6,-56,-11,23748,4850,5114,-17,24,7,0,0,0,0,0,0,0,0,0,0,0,0
4150,22012,12132,16,-55,-7,23726,4848,5080,-17,28,8,0,0,0,0,0,0,0,0,0,0,0,0
4122,22026,12124,34,-53,-9,23748,4860,5124,-23,25,6,0,0,0,0,0,0,0,0,0,0,0,0
4102,22206,12182,43,-54,-8,23784,4840,5134,-24,22,5,0,0,0,0,0,0,0,0,0,0,0,0
4144,22238,12220,33,-53,-8,23764,4858,5098,-34,27,1,0,0,0,0,0,0,0,0,0,0,0,0
4140,22216,12244,18,-52,-9,23754,4792,5114,-45,34,0,0,0,0,0,0,0,0,0,0,0,0,0
4092,22224,12234,11,-59,-4,23724,4708,5088,-39,31,1,0,0,0,0,0,0,0,0,0,0,0,0
4158,22162,12164,-2,-60,-8,23694,4750,5194,-25,24,5,0,0,0,0,0,0,0,0,0,0,0,0
4190,21978,12098,-7,-57,-8,23732,4788,5130,-15,22,4,0,0,0,0,0,0,0,0,0,0,0,0
4182,21868,12126,7,-55,-11,23740,4830,5058,-13,21,4,0,0,0,0,0,0,0,0,0,0,0,0
4130,21960,12190,29,-53,-9,23808,4854,5148,-10,20,6,0,0,0,0,0,0,0,0,0,0,0,0
4100,22196,12264,52,-52,-5,23842,4902,5122,-16,22,9,0,0,0,0,0,0,0,0,0,0,0,0
4020,22266,12174,37,-55,-7,23814,4816,5176,-24,29,9,0,0,0,0,0,0,0,0,0,0,0,0
4122,22174,12172,0,-58,-9,23778,4784,5108,-17,34,10,0,0,0,0,0,0,0,0,0,0,0,0
4162,22028,12152,1,-59,-7,23696,4802,5226,-6,26,17,0,0,0,0,0,0,0,0,0,0,0,0
4180,21998,12138,34,-57,-5,23766,4766,5036,5,22,14,0,0,0,0,0,0,0,0,0,0,0,0
4180,22230,12208,52,-49,-5,23848,4852,5082,13,27,11,0,0,0,0,0,0,0,0,0,0,0,0
4066,22342,12368,39,-51,-1,23766,4928,5144,10,35,6,0,0,0,0,0,0,0,0,0,0,0,0
4118,22346,12244,4,-59,-6,23708,4874,5038,-9,41,-1,0,0,0,0,0,0,0,0,0,0,0,0
4134,22206,12186,-24,-61,-9,23582,4820,5160,-11,36,-1,0,0,0,0,0,0,0,0,0,0,0,0
4194,21984,12150,-25,-61,-4,23668,4804,5084,-12,23,0,0,0,0,0,0,0,0,0,0,0,0,0
4240,21922,12132,-15,-55,-6,23728,4886,5098,-16,28,-4,0,0,0,0,0,0,0,0,0,0,0,0
4172,21894,12214,7,-49,-10,23700,4920,5096,-13,40,1,0,0,0,0,0,0,0,0,0,0,0,0
4112,21940,12246,24,-49,-7,23606,4930,5176,-17,35,3,0,0,0,0,0,0,0,0,0,0,0,0
4086,22002,12158,28,-52,-15,23632,4970,5114,-14,26,6,0,0,0,0,0,0,0,0,0,0,0,0
4092,22060,12180,41,-54,-9,23718,4926,5132,-9,15,8,0,0,0,0,0,0,0,0,0,0,0,0
4120,21996,12040,54,-50,-8,23798,4950,5062,-17,17,4,0,0,0,0,0,0,0,0,0,0,0,0
4080,22086,12202,71,-53,-7,23762,4906,5094,-37,33,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,22380,12134,72,-50,-5,23674,4860,5096,-45,42,-1,0,0,0,0,0,0,0,0,0,0,0,0
3992,22486,12210,43,-48,-5,23488,4806,4988,-48,30,-1,0,0,0,0,0,0,0,0,0,0,0,0
4046,22408,12274,-2,-57,-9,23538,4692,4982,-43,14,-1,0,0,0,0,0,0,0,0,0,0,0,0
4116,22254,12186,-37,-61,-10,23654,4780,5018,-15,-6,3,0,0,0,0,0,0,0,0,0,0,0,0
4078,21958,12136,-26,-60,-6,23896,4910,5104,-13,-8,1,0,0,0,0,0,0,0,0,0,0,0,0
4074,21916,12146,-13,-60,-8,23928,5086,5198,-28,6,1,0,0,0,0,0,0,0,0,0,0,0,0
4024,21942,12090,0,-62,-7,23888,5162,5176,-44,22,2,0,0,0,0,0,0,0,0,0,0,0,0
4076,21826,12118,8,-56,-8,23746,5042,5140,-63,20,2,0,0,0,0,0,0,0,0,0,0,0,0
4104,21800,12092,29,-58,-12,23778,4860,5110,-71,6,7,0,0,0,0,0,0,0,0,0,0,0,0
4160,21912,12202,73,-62,-12,23862,4786,5074,-66,9,7,0,0,0,0,0,0,0,0,0,0,0,0
4236,22334,12294,101,-65,-7,23784,4738,5050,-56,29,3,0,0,0,0,0,0,0,0,0,0,0,0
4230,22676,12256,82,-62,-4,23492,4722,5126,-54,33,-4,0,0,0,0,0,0,0,0,0,0,0,0
4198,22782,12158,19,-62,-10,23528,4650,5178,-48,12,-1,0,0,0,0,0,0,0,0,0,0,0,0
4224,22416,12134,-72,-60,-9,23680,4644,5166,-46,6,-1,0,0,0,0,0,0,0,0,0,0,0,0
4158,21972,12190,-99,-54,-11,23784,4688,5160,-28,15,-1,0,0,0,0,0,0,0,0,0,0,0,0
4014,21654,12236,-78,-55,-10,23856,4758,5138,-2,20,2,0,0,0,0,0,0,0,0,0,0,0,0
3954,21518,12222,-17,-66,-8,23858,4806,5056,-4,26,-1,0,0,0,0,0,0,0,0,0,0,0,0
4080,21758,12106,28,-68,-14,23740,4818,5118,-5,32,0,0,0,0,0,0,0,0,0,0,0,0,0
4088,21926,12056,43,-65,-12,23646,4894,5108,-2,25,7,0,0,0,0,0,0,0,0,0,0,0,0
4162,21974,12138,45,-61,-9,23632,4974,5080,-15,14,11,0,0,0,0,0,0,0,0,0,0,0,0
4276,22004,12192,52,-59,-12,23726,4976,4978,-32,7,12,0,0,0,0,0,0,0,0,0,0,0,0
4202,22116,12172,66,-54,-6,23702,4942,5124,-59,3,7,0,0,0,0,0,0,0,0,0,0,0,0
