ax,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
8176,32767,-7142,3,-915,-13,22922,22012,-9254,7,101,-46
8660,32767,-7418,10,-893,-32,23040,21800,-9222,-47,57,-53
9270,32767,-7396,74,-875,-51,23158,21466,-9082,-90,9,-66
9728,32767,-7274,97,-822,-36,23292,21406,-9262,-66,-24,-26
10174,32767,-7066,177,-766,-7,23376,21262,-9444,-16,-48,13
10626,32767,-7318,136,-735,-30,23348,21184,-9934,36,-53,8
10734,32767,-7476,31,-641,-34,23278,21252,-10090,67,-40,-12
10402,32767,-7288,-46,-567,-22,23106,21516,-9934,105,-33,-22
10064,32767,-7318,-70,-522,-6,23086,21980,-10050,141,-46,-8
9850,32767,-7510,-48,-470,2,23242,22212,-10432,111,-63,30
9684,32767,-7460,29,-427,27,23506,21878,-10816,-26,-46,27
9594,32767,-7582,68,-399,51,23508,21540,-10500,-111,2,-11
9104,32767,-7420,39,-328,87,23318,21432,-10256,-112,47,-18
8650,32767,-7168,22,-286,91,23022,21354,-10080,-87,64,-3
8352,32767,-7062,-6,-277,56,22846,21364,-9992,-64,39,-3
8618,32767,-7044,-10,-299,29,22814,21418,-9960,-41,-3,0
9070,32767,-6878,-4,-310,17,23040,21492,-9952,-6,-29,8
9430,32767,-6748,-21,-272,23,23232,21530,-9948,20,-31,18
9310,32767,-6728,-51,-210,27,23422,21504,-10166,13,-24,8
9084,32767,-6784,-109,-181,-19,23470,21404,-10264,-13,-11,-10
9048,32767,-6480,-102,-204,-44,23370,21304,-10106,-8,6,-15
9130,32767,-6256,-23,-243,-38,23114,21368,-10026,41,19,-4
9230,32767,-6506,49,-255,-39,22980,21632,-10032,88,18,11
9326,32767,-6814,116,-244,-22,23088,21758,-10314,89,-8,12
9308,32767,-7028,155,-226,-10,23294,21714,-10544,39,-28,-8
9220,32767,-6978,150,-197,1,23448,21552,-10480,-2,-13,-30
8932,32767,-6688,138,-186,2,23290,21408,-10210,8,21,-22
8622,32767,-6478,85,-207,-17,23044,21590,-10186,84,28,3
8750,32767,-6712,-40,-252,-45,22930,21710,-10356,109,11,15
9030,32767,-7012,-96,-240,-52,23032,21620,-10524,63,-20,4
9178,32767,-7206,-112,-217,-63,23222,21428,-10464,22,-36,-11
9052,32767,-6974,-80,-187,-66,23372,21298,-10484,27,-22,-9
8846,32767,-6594,-11,-186,-51,23178,21242,-10384,69,-1,-3
8738,32767,-6562,13,-199,-57,23002,21518,-10302,143,0,-1
8818,32767,-6626,-12,-204,-85,23078,21892,-10444,162,-15,12
8878,32767,-6714,-40,-202,-111,23166,21892,-10630,94,-24,10
8958,32767,-6818,-28,-192,-125,23384,21664,-10670,26,-17,-4
8854,32767,-6980,52,-179,-133,23396,21506,-10652,3,3,-10
