elbow_0
Module: 78:21:84:DF:61:54 (01)
t(us),ax,ay,az,gx,gy,gz,y,p,r
2250187,5314,32767,334,-39,-57,-16,-0.147352,0.160389,1.525997
2265813,5246,32767,346,-8,-64,-7,0.366862,-1.335875,0.549048
2281439,5252,32767,286,41,-59,-7,-0.147307,0.160110,1.527179
2297064,5298,32767,164,64,-58,-7,-0.147719,0.159931,1.529367
2312690,5338,32767,88,67,-54,0,-0.148188,0.160016,1.530748
2328316,5188,32767,94,62,-51,-5,-0.148925,0.160017,1.533384
2343942,5202,32767,16,34,-56,-5,-0.149187,0.159934,1.534654
2359569,5208,32767,36,15,-61,-6,-0.149578,0.159770,1.536669
2375195,5334,32767,92,4,-64,-11,-0.149804,0.159612,1.538076
2390822,5242,32767,164,-25,-60,-13,-0.149874,0.159559,1.538563
2406448,5222,32767,298,-35,-53,-16,-0.149662,0.159254,1.539062
2422074,5090,32767,304,-35,-56,-9,-0.149590,0.159166,1.539185
2437700,5154,32767,224,-32,-69,-13,-0.149266,0.158819,1.539419
2453326,5238,32767,302,-20,-79,-12,-0.149014,0.158561,1.539530
2468951,5272,32767,338,1,-79,-9,-0.148919,0.158354,1.540075
2484577,5346,32767,326,25,-70,-12,-0.149110,0.158379,1.540668
2500203,5312,32767,188,26,-67,-7,-0.149396,0.158303,1.542006
2515829,5300,32767,46,30,-61,-6,-0.149611,0.158281,1.542857
2531455,5278,32767,52,28,-63,-4,-0.150018,0.158240,1.544446
2547082,5200,32767,230,17,-65,3,-0.150462,0.158212,1.546048
2562708,5102,32767,460,5,-59,-6,-0.150713,0.158323,1.546561
2578335,5062,32767,412,-9,-73,-5,-0.150629,0.158088,1.547163
2593961,5270,32767,294,11,-90,-2,-0.150590,0.157990,1.547385
2609588,5300,32767,204,47,-82,-3,-0.150854,0.157949,1.548492
2625214,5206,32767,268,55,-77,-4,-0.151411,0.157950,1.550386
2640840,5192,32767,364,52,-73,-1,-0.151633,0.157920,1.551237
2656466,5250,32767,222,54,-74,5,-0.152175,0.157964,1.552860
2672091,5236,32767,54,59,-67,10,-0.152611,0.158095,1.553824
2687718,5140,32767,170,57,-62,17,-0.153457,0.158364,1.555640
2703344,5040,32767,304,42,-71,12,-0.153950,0.158585,1.556525
2718969,5096,32767,396,48,-87,14,-0.154440,0.158675,1.557804
2734595,5192,32767,276,71,-107,17,-0.154724,0.158750,1.558504
2750222,5270,32767,236,89,-115,18,-0.155684,0.159082,1.560498
2765848,5242,32767,262,102,-130,4,-0.156644,0.159239,1.563015
2781474,5240,32767,230,108,-151,9,-0.157177,0.159293,1.564453
2797101,5312,32767,126,89,-156,9,-0.158268,0.159531,1.567036
2812728,5274,32767,140,84,-152,-3,-0.158690,0.159541,1.568224
2828355,5374,32767,104,99,-153,-1,-0.159548,0.159633,1.570519
2843981,5438,32767,16,133,-155,5,-0.159969,2.981978,1.571793
2859606,5152,32767,562,179,-166,15,-0.161507,2.981654,1.575273
2875232,4948,32767,574,228,-170,2,-0.162452,2.981465,1.577381
2890859,4978,32767,974,99,-222,0,-0.163513,2.981857,1.581395
2906485,5338,32767,254,122,-279,40,-0.163676,2.981962,1.582093
2922111,5608,32767,112,208,-261,41,-0.165590,2.981232,1.585178
2937737,5510,32767,152,195,-250,40,-0.168444,2.980189,1.589859
2953363,5330,32767,-10,235,-269,66,-0.169697,2.979758,1.591925
2968989,5398,32767,-98,318,-270,106,-0.173345,2.978288,1.597421
2984616,5360,32767,-126,353,-275,107,-0.175913,2.977190,1.601052
3000243,5248,32767,-84,310,-310,117,-0.180884,2.975241,1.608460
3015869,5436,32767,-476,284,-355,143,-0.185946,2.972954,1.614825
3031496,5534,32767,-720,298,-358,164,-0.188880,2.971493,1.618107
3047123,5456,32767,-418,321,-409,211,-0.195234,2.968302,1.624952
3062750,5428,32767,-456,342,-446,285,-0.198931,2.966339,1.628605
3078375,5448,32767,-274,305,-476,306,-0.207727,2.961224,1.636002
3094002,5448,32767,-240,262,-529,312,-0.212168,2.958529,1.639309
3109628,5624,32767,-250,226,-596,326,-0.220680,2.953346,1.644995
3125255,5854,32767,-174,212,-649,341,-0.225073,2.950619,1.647530
3140883,6110,32767,-262,191,-688,349,-0.234106,2.945047,1.652541
3156509,6254,32767,-394,164,-722,346,-0.238772,2.942138,1.654845
3172135,6252,32767,-192,159,-764,344,-0.247979,2.936589,1.659296
3187760,6278,32767,-256,150,-820,381,-0.257219,2.931161,1.663581
3203386,6554,32767,-462,138,-881,395,-0.262288,2.928230,1.665862
3219012,6844,32767,-602,120,-911,392,-0.272623,2.922387,1.670298
3234638,6946,32767,-546,159,-932,407,-0.278135,2.919312,1.672577
3250263,7026,32767,-634,194,-963,413,-0.289734,2.913285,1.678069
3265890,7178,32767,-864,197,-996,408,-0.302108,2.907504,1.684517
3281517,7358,32767,-946,211,-1013,408,-0.308502,2.904749,1.687955
3297143,7632,32767,-1110,198,-1018,410,-0.315128,2.901961,1.691538
3312769,7674,32767,-1224,182,-1020,405,-0.328402,2.896484,1.698451
3328395,7832,32767,-1364,189,-1039,409,-0.341877,2.891181,1.705144
3344021,8100,32767,-1462,217,-1059,387,-0.348797,2.888639,1.708574
3359647,8446,32767,-1536,249,-1045,365,-0.363103,2.884089,1.716305
3375274,8648,32767,-1692,295,-1027,352,-0.370412,2.882049,1.720489
3390901,8652,32767,-1682,319,-1001,330,-0.385672,2.878273,1.729566
3406528,8780,32767,-1818,355,-1006,348,-0.393443,2.876478,1.734253
3422155,8988,32767,-2336,414,-1014,352,-0.410294,2.872895,1.744582
3437780,9256,32767,-2200,452,-974,316,-0.428715,2.869569,1.756444
3453406,9334,32767,-2128,424,-975,280,-0.437700,2.868238,1.762328
3469033,9376,32767,-1990,287,-993,234,-0.454540,2.866452,1.772794
3484660,9422,32767,-2196,164,-984,189,-0.461245,2.866170,1.776272
3500287,9392,32767,-2782,198,-909,162,-0.472684,2.866417,1.781339
3515913,9390,32767,-2844,271,-895,164,-0.478464,2.866675,1.784235
3531539,9382,32767,-2706,340,-909,144,-0.491613,2.867229,1.791426
3547166,9450,32767,-2820,420,-931,143,-0.498907,2.867818,1.795831
3562793,9910,32767,-2958,480,-935,141,-0.514974,2.869117,1.805723
3578420,10018,32767,-3186,481,-912,126,-0.533048,2.870279,1.816833
3594046,9830,32767,-3272,430,-868,117,-0.541850,2.870934,1.822028
3609671,9524,32767,-3314,390,-855,117,-0.558158,2.872370,1.831124
3625296,9496,32767,-3576,414,-884,105,-0.565856,2.873355,1.835197
3640922,9704,32767,-3800,409,-906,74,-0.582528,2.875784,1.844047
3656549,9972,32767,-3822,362,-910,59,-0.590733,2.877286,1.848262
3672176,10068,32767,-3910,304,-904,79,-0.606819,2.880345,1.855584
3687803,9882,32767,-3812,244,-889,93,-0.614642,2.881516,1.858595
3703430,9688,32767,-3828,207,-891,66,-0.629559,2.883879,1.863300
3719056,9650,32767,-3850,213,-915,51,-0.643462,2.887028,1.866929
3734681,9722,32767,-3834,228,-961,54,-0.650661,2.888865,1.868775
3750307,9772,32767,-3860,197,-1005,40,-0.666833,2.892674,1.872816
3765934,9774,32767,-3868,134,-1026,25,-0.674933,2.894823,1.874444
3781560,9704,32767,-3942,136,-1030,24,-0.690828,2.899302,1.876507
3797187,9612,32767,-3994,202,-1050,29,-0.699275,2.901570,1.877669
3812813,9600,32767,-4242,250,-1092,37,-0.719025,2.906248,1.881323
3828440,9746,32767,-4394,331,-1144,73,-0.743541,2.910753,1.886877
3844066,9760,32767,-4426,335,-1182,88,-0.757760,2.912831,1.890279
3859692,9724,32767,-4526,252,-1219,91,-0.788162,2.917028,1.896771
3875319,9640,32767,-4810,142,-1237,88,-0.818344,2.921455,1.900663
3890946,9566,32767,-4832,64,-1239,76,-0.832904,2.923857,1.901525
3906572,9406,32767,-4888,42,-1268,45,-0.847790,2.926259,1.901958
3922198,9274,32767,-4948,44,-1312,9,-0.878934,2.932148,1.902498
3937824,9332,32767,-5156,35,-1349,-24,-0.895966,2.935601,1.902867
3953451,9612,32767,-5502,86,-1382,2,-0.932667,2.943017,1.903534
3969078,9732,32767,-5376,259,-1393,47,-0.977372,2.949604,1.906143
3984704,9688,32767,-5494,356,-1406,65,-1.003658,2.952423,1.909177
4000330,9876,32767,-5910,294,-1391,66,-1.060416,2.957834,1.916233
4015957,9804,32767,-6260,174,-1362,60,-1.089010,2.960424,1.918984
4031583,9696,32767,-6430,75,-1333,49,-1.145644,2.965477,1.922115
4047209,9550,32767,-6562,41,-1298,39,-1.173526,2.968119,1.922626
4062836,9500,32767,-6716,58,-1275,33,-1.230573,2.973181,1.923174
4078462,9456,32767,-6760,94,-1251,41,-1.259820,2.975779,1.923523
4094089,9570,32767,-6868,106,-1238,59,-1.320448,2.980481,1.924758
4109715,9748,32767,-6902,103,-1212,69,-1.384013,2.984477,1.926344
4125341,9872,32767,-6986,84,-1166,62,-1.416084,2.986146,1.926892
4140967,9918,32767,-7150,71,-1093,53,-1.477815,2.989126,1.927523
4156594,9914,32767,-7156,94,-1039,58,-1.507691,2.990391,1.927765
4172219,9782,32767,-7092,87,-1022,62,-1.565572,2.992270,1.928286
4187845,9772,32767,-7108,39,-1017,68,-1.594474,2.993229,1.928418
4203471,9888,32767,-7032,-19,-998,73,-1.653024,2.994835,1.927504
4219097,9858,32767,-6914,-97,-915,61,-1.709909,2.995981,1.924648
4234724,9626,32767,-6816,-117,-862,60,-1.737085,2.996294,1.922600
4250351,9554,32767,-6758,-103,-840,71,-1.790527,2.996782,1.918036
4265977,9604,32767,-6592,-44,-836,85,-1.816705,2.996882,1.916020
4281604,9584,32767,-6494,-31,-841,81,-1.869035,2.996611,1.912983
4297231,9518,32767,-6366,-91,-844,82,-1.895312,2.996611,1.911564
4312858,9392,32767,-6250,-148,-839,90,-1.949826,2.996468,1.907208
4328485,9398,32767,-6182,-147,-836,77,-1.977209,2.996288,1.904498
4344111,9312,32767,-6248,-65,-849,51,-2.032133,2.996349,1.899466
4359737,9344,32767,-6250,-6,-881,65,-2.084788,2.996888,1.896409
4375362,9480,32767,-6126,37,-911,83,-2.111068,2.997072,1.895622
4390988,9632,32767,-6188,35,-916,67,-2.162178,2.997353,1.894776
4406614,9708,32767,-6374,-37,-897,45,-2.187282,2.997427,1.894146
4422240,9384,32767,-6348,-73,-865,43,-2.237137,2.997981,1.891713
4437867,8926,32767,-6308,-55,-889,33,-2.261171,2.998268,1.890090
4453493,8858,32767,-6322,-27,-948,13,-2.308082,2.999720,1.887538
4469119,9194,32767,-6318,35,-1010,10,-0.013572,0.003466,1.146399
4484746,9418,32767,-6710,-27,-985,-9,-2.375428,3.003066,1.886192
4500372,9192,32767,-7002,-51,-909,-9,-2.417902,3.005218,1.884507
4515999,8674,32767,-6980,-4,-879,-5,-2.437091,3.006024,1.883576
4531625,8262,32767,-6934,27,-907,-6,-2.471422,3.007988,1.882736
4547251,8176,32767,-7142,3,-915,-13,-2.487877,3.009230,1.882543
4562882,8660,32767,-7418,10,-893,-32,-2.519600,3.011876,1.881854
4578508,9270,32767,-7396,74,-875,-51,-2.533741,3.013092,1.881871
4594134,9728,32767,-7274,97,-822,-36,-2.558925,3.015171,1.882743
4609761,10174,32767,-7066,177,-766,-7,-2.580168,3.015471,1.884401
4625386,10626,32767,-7318,136,-735,-30,-2.589645,3.015360,1.885581
4641012,10734,32767,-7476,31,-641,-34,-2.608581,3.014786,1.886741
4656637,10402,32767,-7288,-46,-567,-22,-2.618407,3.014119,1.886282
4672263,10064,32767,-7318,-70,-522,-6,-2.639071,3.012348,1.883582
4687890,9850,32767,-7510,-48,-470,2,-2.649124,3.011352,1.882040
4703516,9684,32767,-7460,29,-427,27,-2.666534,3.009092,1.879684
4719142,9594,32767,-7582,68,-399,51,-2.673633,3.007664,1.879389
4734768,9104,32767,-7420,39,-328,87,-2.686496,3.004338,1.879179
4750395,8650,32767,-7168,22,-286,91,-2.699477,3.000231,1.878243
4766021,8352,32767,-7062,-6,-277,56,-2.705692,2.998471,1.877404
4781647,8618,32767,-7044,-10,-299,29,-2.718205,2.995905,1.875117
4797273,9070,32767,-6878,-4,-310,17,-2.724365,2.994964,1.873971
4812899,9430,32767,-6748,-21,-272,23,-2.736663,2.992621,1.871719
4828525,9310,32767,-6728,-51,-210,27,-2.743140,2.991150,1.870303
4844151,9084,32767,-6784,-109,-181,-19,-2.755904,2.988093,1.866570
4859777,9048,32767,-6480,-102,-204,-44,-2.768826,2.986222,1.861626
4875403,9130,32767,-6256,-23,-243,-38,-2.774794,2.985507,1.859542
4891030,9230,32767,-6506,49,-255,-39,-2.784829,2.984152,1.856962
4906656,9326,32767,-6814,116,-244,-22,-2.788715,2.983475,1.856458
4922282,9308,32767,-7028,155,-226,-10,-2.793809,2.981651,1.857213
4937909,9220,32767,-6978,150,-197,1,-2.795630,2.980528,1.858087
4953535,8932,32767,-6688,138,-186,2,-2.799389,2.978161,1.859344
4969161,8622,32767,-6478,85,-207,-17,-2.804165,2.976356,1.859626
4984788,8750,32767,-6712,-40,-252,-45,-2.807732,2.975926,1.858978
5000415,9030,32767,-7012,-96,-240,-52,-2.817555,2.975361,1.855891
5016041,9178,32767,-7206,-112,-217,-63,-2.822898,2.975059,1.853992
5031667,9052,32767,-6974,-80,-187,-66,-2.833210,2.974390,1.850159
5047294,8846,32767,-6594,-11,-186,-51,-2.837451,2.973970,1.848601
5062921,8738,32767,-6562,13,-199,-57,-2.844438,2.973074,1.846707
5078546,8818,32767,-6626,-12,-204,-85,-2.847717,2.972791,1.845851
5094172,8878,32767,-6714,-40,-202,-111,-2.854123,2.972942,1.843718
5109798,8958,32767,-6818,-28,-192,-125,-2.857500,2.973092,1.842385
5125424,8854,32767,-6980,52,-179,-133,-2.862753,2.973740,1.840451
5141051,8766,32767,-6876,116,-161,-118,-2.864827,2.974416,1.840234
5156678,8596,32767,-6696,172,-156,-91,-2.864925,2.974469,1.840877
5172304,8572,32767,-6800,155,-159,-88,-2.864192,2.974527,1.842743
5187931,8606,32767,-6954,83,-153,-101,-2.864493,2.974515,1.843356
5203557,8564,32767,-6882,35,-147,-106,-2.866339,2.974709,1.843375
5219183,8516,32767,-6848,-3,-154,-98,-2.870292,2.974897,1.841987
5234809,8420,32767,-6876,-22,-157,-75,-2.872989,2.974932,1.840905
5250436,8546,32767,-6942,-15,-130,-63,-2.878648,2.974431,1.838841
5266061,8456,32767,-6758,2,-125,-53,-2.881152,2.974113,1.837971
5281687,8468,32767,-6858,27,-134,-28,-2.885834,2.973179,1.836565
5297313,8596,32767,-6870,57,-123,-8,-2.888066,2.972548,1.836124
5312940,8568,32767,-7046,101,-118,5,-2.891674,2.970648,1.836144
5328565,8516,32767,-7136,92,-111,21,-2.893063,2.969537,1.836564
5344192,8564,32767,-7204,46,-78,21,-2.896141,2.967167,1.837002
5359817,8458,32767,-7022,34,-56,13,-2.898053,2.966017,1.836796
5375443,8498,32767,-7072,-16,-70,-2,-2.902191,2.963699,1.835952
5391069,8456,32767,-6962,-37,-66,4,-2.907687,2.961800,1.834040
5406695,8482,32767,-6922,-27,-57,7,-2.910680,2.960841,1.832926
5422321,8608,32767,-7192,-31,-33,6,-2.916459,2.958698,1.830799
5437947,8694,32767,-7186,0,-13,18,-2.919063,2.957609,1.829802
5453573,8660,32767,-6956,33,-4,15,-2.923205,2.955014,1.828613
5469198,8526,32767,-6702,41,-6,10,-2.926363,2.952674,1.827754
5484825,8410,32767,-6692,22,-20,18,-2.928138,2.951567,1.827267
5500452,8526,32767,-6800,-11,-25,6,-2.929991,2.950514,1.826697
5516077,8564,32767,-6888,-26,-20,-18,-2.934654,2.948760,1.824751
5531702,8592,32767,-6932,12,-16,-5,-2.938943,2.947255,1.822843
5547329,8510,32767,-6904,55,-2,6,-2.940351,2.946421,1.822382
5562955,8316,32767,-6746,87,-9,10,-2.942127,2.944455,1.822332
5578580,8280,32767,-6648,67,-36,4,-2.942541,2.943658,1.822506
5594205,8450,32767,-6652,5,-54,-12,-2.944668,2.942367,1.822131
5609831,8618,32767,-6734,-41,-55,-25,-2.946611,2.941873,1.821375
5625458,8646,32767,-6840,-55,-44,-32,-2.951447,2.940971,1.819114
5641085,8646,32767,-6854,-11,-34,-15,-2.956096,2.940006,1.816909
5656712,8482,32767,-6750,56,-55,10,-2.957851,2.939314,1.816238
5672339,8466,32767,-6736,73,-77,24,-2.959657,2.937909,1.816421
5687965,8576,32767,-6774,60,-67,26,-2.960627,2.937106,1.816723
5703592,8590,32767,-6836,37,-52,24,-2.962995,2.935383,1.816844
5719218,8534,32767,-6774,0,-46,20,-2.966281,2.933763,1.816118
5734844,8410,32767,-6820,-29,-54,10,-2.968328,2.933036,1.815438
5750471,8490,32767,-6782,-21,-65,16,-2.970443,2.932467,1.814657
5766098,8746,32767,-6884,-38,-58,10,-2.974618,2.931260,1.813277
5781724,8772,32767,-6790,-71,-28,1,-2.979353,2.929862,1.811446
5797350,8516,32767,-6700,-90,-18,-5,-2.982088,2.929235,1.810124
5812976,8356,32767,-6632,-81,-38,-11,-2.987763,2.928264,1.807116
5828603,8360,32767,-6580,-26,-68,-3,-2.990229,2.927921,1.805847
5844229,8496,32767,-6598,57,-101,16,-2.993681,2.927195,1.804728
5859854,8816,32767,-6796,82,-118,18,-2.994334,2.926804,1.805062
