ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,32242,2812,10,-31,-96,23594,23858,-590,101,-80,-122,8578,7654,-8044,42,-56,12
32767,32767,2504,-27,-16,-177,23674,23924,-790,91,-83,-108,8786,7698,-7916,38,-78,21
32767,32767,2490,-78,-17,-158,23514,23754,-800,47,-80,-108,8976,7700,-8040,41,-75,31
32767,32362,2482,-66,-22,-188,23634,23692,-784,45,-87,-95,8976,7576,-8024,33,-49,34
32767,32142,2496,0,-31,-157,23866,23464,-792,56,-94,-77,8842,7458,-8116,23,-24,34
32767,32478,2450,38,-42,-165,23852,23398,-828,72,-89,-87,8648,7384,-7992,21,-26,35
32767,32764,2528,49,-55,-179,23618,23608,-880,84,-80,-88,8674,7330,-7906,28,-34,30
32767,32767,2602,1,-62,-134,23726,23712,-762,96,-101,-65,8600,7316,-7896,45,-34,15
32767,32767,2426,-44,-60,-178,23770,23640,-774,70,-90,-73,8634,7388,-7912,63,-32,12
32767,32502,2410,-62,-44,-177,23622,23552,-660,53,-90,-88,8764,7484,-7996,81,-34,17
32767,32188,2534,8,-38,-90,23796,23650,-658,38,-64,-70,8810,7608,-7964,82,-23,20
32767,32462,2414,74,-22,-125,23576,23658,-574,2,-24,-44,8844,7642,-8052,71,-18,19
32767,32438,2410,68,-10,-85,23282,23784,-828,28,-29,-35,8854,7684,-8046,63,-11,13
32767,32748,2516,2,-30,-87,23422,24032,-782,25,-56,-8,8840,7688,-7956,38,2,6
32767,32656,2520,-8,-40,-145,23792,23936,-818,34,-66,7,8676,7658,-7914,11,20,7
32767,32404,2440,-24,-44,-181,23824,23710,-922,24,-73,-13,8540,7498,-7742,-12,24,7
32767,31668,2352,22,-51,-113,23830,23610,-858,-3,-76,-39,8402,7404,-7662,-14,8,2
32767,32310,2312,71,-48,-47,23942,23568,-980,-17,-59,-28,8386,7302,-7794,-9,-4,-4
32767,32767,2230,26,-47,-115,23664,23440,-826,-6,-37,-6,8578,7290,-8040,13,-20,-11
32767,32767,2396,-46,-45,-54,23686,23628,-696,-1,-40,-5,8776,7478,-8142,38,-12,-16
32767,32646,2584,-40,-47,32,23680,23722,-792,15,-41,-2,8934,7782,-8214,40,20,-14
32767,32628,2704,-49,-19,-2,23622,23632,-700,16,-46,-9,8922,7992,-8164,18,47,2
32767,32084,2548,-65,-4,-35,23648,23574,-740,18,-55,-16,8868,7940,-7956,-24,55,10
32767,31984,2388,1,-1,-45,23762,23514,-716,21,-48,-7,8704,7590,-7708,-89,58,-8
32767,32554,2278,90,-6,-33,23710,23532,-588,9,-39,-2,8678,7228,-7824,-84,45,-21
32767,32767,2286,30,-28,-17,23734,23548,-622,-2,-36,-3,8726,7112,-8006,-34,37,-17
32767,32767,2402,-67,-52,-9,23592,23658,-614,27,-40,-2,8746,7264,-8094,11,48,-3
32767,32236,2420,-90,-62,-4,23632,23830,-758,81,-37,-5,8698,7472,-8146,41,62,3
32767,32006,2480,-54,-60,-19,23792,23898,-940,73,-22,11,8696,7644,-7914,55,60,-1
32767,32178,2540,18,-50,-39,23782,23884,-822,44,-10,14,8644,7704,-7894,36,55,-10
