ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,31808,2088,-7,-43,-14,24036,24812,-610,4,-58,61,8694,8738,-7910,1,182,-96
32767,31790,1722,84,-28,-13,23728,24618,-706,-36,-59,62,8872,8494,-7806,-3,164,-106
32767,32308,1506,145,-39,-9,23624,24422,-696,-37,-71,60,9216,8212,-7914,12,159,-107
32767,32767,1642,136,-81,-8,23832,24264,-706,-13,-85,56,9114,8152,-8164,23,196,-107
32767,32767,1940,111,-122,-1,24038,24214,-728,14,-77,45,8780,8286,-8090,8,230,-106
32767,32767,2220,96,-147,2,24082,24380,-924,38,-55,32,8470,8420,-7934,-7,215,-94
32767,32767,2324,45,-137,-3,24008,24460,-1110,39,-35,22,8438,8480,-7898,-3,172,-88
32767,32767,2550,-51,-99,3,24038,24712,-1172,33,-32,16,8676,8472,-7994,-1,146,-92
32767,32550,2560,-81,-70,8,23896,24914,-1156,21,-31,18,8676,8422,-8092,-8,148,-100
32767,32238,2486,-36,-20,14,23824,25028,-1094,-12,-48,33,8608,8322,-8188,-35,159,-101
32767,32364,2526,-2,-5,18,23914,24966,-1138,-15,-70,53,8452,8352,-8198,-54,153,-97
32767,32302,2262,-21,-4,27,24046,24826,-1078,3,-82,70,8592,8140,-8308,-53,107,-90
32767,32222,2108,-45,-4,31,24130,24802,-1138,26,-92,76,8824,7982,-8320,-31,85,-92
32767,32348,2062,-64,-19,38,24038,24660,-1254,57,-88,70,9014,7900,-8466,6,87,-103
32767,32560,1964,-97,-38,44,24022,24758,-1300,114,-98,75,9034,7992,-8600,32,103,-103
32767,32614,1890,-141,-57,44,24204,25104,-1216,160,-105,76,8916,8100,-8688,32,125,-101
32767,32642,2190,-148,-58,54,24332,25208,-1268,138,-77,67,8814,8196,-8714,19,130,-100
32767,32767,2402,-113,-48,68,24184,25338,-1276,130,-67,67,8730,8276,-8662,9,125,-91
