gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
2571169,32767,19418,6220,-24,-45,-9,-0.685136,1.014031,1.260599
2586794,32767,19424,6330,-26,-45,-10,-0.685313,1.014197,1.261645
2602420,32767,19436,6270,-24,-45,-10,-0.685360,1.014237,1.262432
2618047,32767,19470,6252,-23,-45,-10,-0.685602,1.014293,1.263088
2633673,32767,19446,6236,-24,-45,-9,-0.685715,1.014394,1.264005
2649300,32767,19446,6248,-25,-46,-9,-0.685606,1.014371,1.264384
2664925,32767,19444,6286,-25,-45,-10,-0.685719,1.014471,1.265302
2680551,32767,19390,6252,-24,-45,-10,-0.685589,1.014516,1.265563
2696178,32767,19394,6250,-25,-44,-10,-0.685636,1.014553,1.266351
2711804,32767,19430,6234,-25,-44,-9,-0.685504,1.014598,1.266612
2727430,32767,19420,6310,-25,-44,-10,-0.685328,1.014681,1.267384
2743056,32767,19424,6316,-24,-45,-9,-0.685374,1.014716,1.268172
2772014,32767,19402,6278,-24,-43,-10,-0.685374,1.014716,1.268172
2787639,32767,19464,6330,-24,-45,-9,-0.684862,1.014824,1.269338
2803266,32767,19440,6294,-25,-45,-9,-0.684615,1.014842,1.269979
2818892,32767,19412,6262,-24,-45,-9,-0.684480,1.014886,1.270241
2834519,32767,19448,6274,-25,-44,-10,-0.684231,1.014903,1.270883
2850145,32767,19420,6280,-25,-44,-9,-0.684094,1.014947,1.271145
2865772,32767,19412,6240,-24,-44,-9,-0.683820,1.015033,1.271670
2881398,32767,19452,6276,-24,-45,-9,-0.683705,1.015007,1.272050
2897025,32767,19436,6318,-24,-45,-9,-0.683222,1.015074,1.272706
2912652,32767,19418,6286,-25,-44,-8,-0.683083,1.015116,1.272969
2928278,32767,19494,6246,-26,-45,-9,-0.682943,1.015159,1.273232
2943905,32767,19414,6282,-25,-45,-8,-0.682391,1.015160,1.273726
2959531,32767,19348,6252,-25,-45,-9,-0.682249,1.015202,1.273989
2975157,32767,19470,6330,-24,-45,-8,-0.681897,1.015225,1.274383
2990783,32767,19438,6280,-25,-45,-9,-0.681754,1.015267,1.274647
3006409,32767,19406,6366,-24,-44,-9,-0.681102,1.015275,1.274893
3034207,32767,19398,6258,-24,-44,-8,-0.681102,1.015275,1.274893
