ax,ay,az,gx,gy,gz
32767,20668,6638,-87,71,-10
32767,20182,6900,-122,15,-37
32767,20116,6688,-47,-61,-25
32767,20616,6302,43,-117,-7
32767,21010,5920,44,-118,12
32767,20734,5568,-22,-85,21
32767,20108,5712,-60,-12,-8
32767,20234,6028,-25,17,-26
32767,20606,6484,-16,11,-14
32767,20832,6636,-31,-35,-10
32767,20716,6462,-57,-79,-17
32767,20502,5920,-35,-92,0
32767,20368,5586,9,-61,11
32767,20562,5542,-3,-1,-7
32767,20498,6578,-83,11,-52
32767,20436,6836,-79,-36,-61
32767,20380,6412,-6,-87,-23
32767,20710,6048,73,-104,15
32767,20948,5628,63,-84,23
32767,20898,5750,-32,-39,12
32767,20500,6098,-122,-12,-11
32767,20010,6406,-83,-19,-29
32767,20206,6516,13,-51,-6
32767,20618,6396,58,-83,1
32767,20838,6192,22,-95,-6
32767,20738,5874,-29,-93,-10
32767,20574,5984,-51,-78,-19
32767,20552,5974,-35,-52,-17
32767,20718,5930,-12,-30,9
32767,20748,6052,-37,-9,15
32767,20472,6414,-63,-20,3
32767,20228,6540,-40,-57,-13
32767,20432,6380,15,-96,-12
32767,20952,5832,-17,-88,-1
32767,20550,5728,-86,-26,7
32767,20094,5976,-79,11,4
32767,20034,6606,-50,-11,-9
32767,20012,6766,-24,-69,-22
32767,20206,6328,28,-125,-30
32767,20844,5712,61,-129,-27
32767,21252,5324,35,-73,-17
32767,21272,5726,-62,30,3
32767,20744,6536,-144,51,-12
32767,20330,6940,-121,2,-17
32767,20324,6674,-41,-80,11
32767,20580,6050,9,-125,32
32767,20670,5482,-17,-103,29
32767,20584,5660,-98,-52,2
32767,20226,6156,-144,1,-26
32767,20022,6750,-74,-18,-16
32767,20208,6684,22,-79,3
32767,20304,6336,66,-131,10
32767,20442,6156,71,-160,1
32767,20852,5720,18,-138,-32
32767,20888,5460,-49,-73,-29
32767,20630,5512,-61,6,-6
32767,20456,6060,-24,47,5
32767,20594,6962,-4,-13,1
32767,20786,6958,-30,-101,-28
32767,20666,6296,-53,-153,-22
32767,20496,5552,-17,-132,11
32767,20396,5010,31,-48,46
32767,20298,5670,3,29,39
32767,20246,6422,-55,65,-26
32767,20372,6926,-114,18,-73
32767,20424,6614,-55,-70,-34
32767,20716,6088,19,-96,2
32767,20968,5668,35,-65,18
32767,20832,5896,-15,-26,15
32767,20676,6280,-47,-4,-6
32767,20530,6624,-71,-33,-7
32767,20374,6450,-54,-77,-11
32767,20428,5914,-31,-104,5
32767,20186,5626,-18,-73,12
32767,20240,5948,-19,-38,-14
32767,20348,6174,-19,-8,-37
32767,20520,6370,-30,-18,-31
32767,20734,6322,-31,-34,-26
32767,20786,6392,-55,-56,-23
32767,20610,6266,-52,-71,-16
32767,20424,6294,-22,-96,-12
32767,20742,5972,22,-91,-9
32767,20882,5606,-4,-63,15
32767,20576,5524,-52,-6,20
32767,20196,6040,-80,32,-4
32767,20058,6624,-51,15,-22
32767,20232,6868,-2,-40,-16
32767,20578,6528,13,-97,-5
32767,20610,5920,-14,-106,-3
32767,20456,5722,-28,-66,-6
32767,20326,5942,-24,-22,-28
32767,20680,6154,8,-1,-18
32767,20744,6320,10,-6,13
32767,20734,6316,17,-30,13
32767,20966,6378,-9,-59,1
32767,20940,6286,-45,-77,6
32767,20682,5992,-78,-87,18
32767,20154,5940,-62,-55,10
32767,20224,5882,-34,-31,8
32767,20186,6160,-35,-19,1
32767,20168,6342,-44,-40,-21
32767,20092,6488,-32,-90,-41
32767,20326,5984,48,-102,-25
32767,21180,5632,66,-70,-4
32767,21288,5496,-36,-4,1
32767,20712,5958,-135,33,-8
32767,20338,6600,-135,27,-27
32767,20304,6718,-95,-17,-29
32767,20488,6300,-32,-68,-2
32767,20422,6038,-5,-68,10
32767,20268,6032,2,-54,8
32767,20408,6148,-11,-45,-17
32767,20760,6174,-64,-37,-27
32767,20494,6074,-107,-21,-12
32767,20114,6184,-81,-18,-3
32767,19916,6424,-1,-31,-5
32767,20650,6446,45,-88,-31
32767,21028,6056,-34,-95,-41
32767,20838,5518,-79,-54,-18
32767,20518,5602,-62,2,22
32767,20188,5950,-29,55,26
32767,20240,6376,-35,58,5
32767,20366,6456,-62,38,-17
32767,20328,6212,-69,30,-24
32767,20200,5972,-8,35,0
32767,20500,6024,38,46,6
32767,20770,6034,1,59,-3
32767,20560,5836,-54,81,-10
32767,20388,5742,-59,122,-6
32767,20400,5984,-45,154,7
32767,20374,6250,-40,166,0
32767,20378,6602,-47,164,-7
32767,20348,5300,-42,149,-5
32767,20272,4878,-38,261,-15
32767,20032,5526,-19,351,-30
32767,20158,5976,38,397,-37
32767,20572,6116,61,396,3
32767,20676,5714,67,434,-5
32767,20864,5290,32,498,-19
32767,20654,5224,23,600,7
32767,20706,5112,26,711,57
32767,20528,5102,19,813,53
32767,20564,5110,-42,930,-4
32767,20442,4710,-36,1032,0
32732,20200,4810,-43,1129,15
32152,20152,5146,16,1197,-13
31790,19898,4490,40,1267,-63
30536,20474,5376,68,1437,-188
29908,20394,6034,12,1353,-271
29724,20362,5732,18,1264,-231
29590,20568,5468,68,1162,-107
29746,20530,4680,227,1094,35
29784,20696,4034,367,1139,53
29372,21476,4208,374,1201,-30
28858,21830,4390,247,1245,-25
28302,21328,4174,95,1221,44
27648,21164,4794,39,1169,38
27148,20960,5068,37,1052,32
26944,20762,4946,84,883,44
27134,20798,4108,150,750,41
27580,20608,3096,189,715,-4
27962,20902,2048,251,914,-94
27570,20826,1584,254,1119,-122
26602,21570,2368,275,1236,-129
25584,21808,3228,219,1243,-109
25228,21658,3228,214,1140,-82
25332,21740,2674,220,1018,-60
25462,21504,2160,216,939,-45
25508,21078,1040,209,963,-54
25216,20902,938,271,1057,-118
24700,21598,1758,281,1082,-167
24028,21658,1836,219,1031,-218
23868,21564,1286,165,952,-272
24414,21462,598,148,915,-277
24648,21628,206,178,946,-228
24326,21702,-522,254,1028,-191
24112,21844,-1098,283,1140,-205
23806,21976,-1212,262,1268,-231
22790,22238,334,170,1279,-245
22068,21704,714,62,1146,-255
21510,21278,476,49,951,-245
21436,21292,40,75,740,-215
21818,21398,-842,113,621,-187
22254,22094,-1610,153,549,-147
22604,22316,-1950,129,548,-96
22912,22032,-2090,101,587,-12
22744,21888,-2430,112,649,45
22346,21914,-2734,111,710,12
22240,21876,-2918,87,788,-21
22168,21538,-2934,79,832,-2
21780,21428,-2250,74,808,13
20632,21334,-2070,22,679,-45
20606,21266,-2488,-2,492,-109
21202,21296,-3130,26,406,-79
21630,21374,-3504,62,412,-42
21894,21344,-3802,103,441,-19
21776,21360,-4050,126,497,-35
21428,21862,-3854,124,507,-77
20868,22308,-3246,33,451,-91
20288,22004,-3236,-57,342,-69
20438,21356,-3672,-64,226,-52
20962,21410,-3944,16,164,-10
21156,21394,-3974,72,103,52
20888,21420,-4054,28,74,-16
21090,21320,-4354,-99,71,-165
21550,20966,-4768,-135,97,-221
21432,21168,-4452,-16,126,-163
21134,21674,-4438,60,128,-87
20738,21780,-4398,38,128,-40
20796,21746,-4822,-31,100,-94
20916,21748,-4410,-103,122,-125
21032,21534,-4442,-85,78,-48
21018,21302,-4658,-62,80,14
21214,21074,-4820,15,100,73
21062,21402,-4918,65,117,76
20760,21732,-4536,-25,107,-13
20712,21010,-4386,-109,62,-28
20902,20384,-4604,-76,13,-49
21130,20640,-4976,25,16,-67
21022,21200,-5006,67,42,-70
20854,21546,-4844,14,34,-114
20786,21662,-4798,-60,7,-151
20748,21450,-4904,-85,0,-132
21200,21306,-5054,-28,24,-112
20648,21424,-4614,31,-21,-29
20196,21474,-4872,9,-56,14
20572,21490,-4922,-5,-75,29
21504,21080,-5196,-28,-62,25
21516,20700,-5290,-11,36,-35
21054,20974,-4834,13,50,-79
20374,21300,-4682,5,6,-67
20210,21494,-5092,-40,-30,-64
20952,21442,-5336,-66,-14,-61
21586,21302,-5422,-39,27,-34
21220,21380,-5092,-39,54,-20
20468,21256,-4950,-60,46,-15
