ax,ay,az,gx,gy,gz
32767,19814,5936,-25,-57,5
32767,19864,6034,-16,-38,8
32767,19850,6296,-42,-44,-8
32767,19690,6382,-37,-62,-17
32767,19840,6226,-13,-81,-21
32767,20058,6000,7,-80,-19
32767,20142,5788,1,-57,-9
32767,20112,5838,-9,-28,-6
32767,20142,6286,-12,-36,-6
32767,20252,6424,-45,-64,-6
32767,20098,6134,-67,-84,-8
32767,19826,5762,-45,-69,1
32767,19832,5684,1,-31,10
32767,20156,5976,8,0,5
32767,20178,6384,-52,-8,-8
32767,19972,6596,-84,-35,-13
32767,19666,6302,-51,-75,-5
32767,19776,5914,13,-69,2
32767,20042,5786,13,-38,-2
32767,20010,6176,-23,-20,-17
32767,20006,6386,-43,-28,-23
32767,19954,6398,-47,-53,-16
32767,19960,6230,-16,-72,-8
32767,19980,5926,4,-65,-3
32767,20136,5848,-15,-28,-9
32767,20100,6246,-52,-23,-24
32767,20020,6482,-57,-42,-20
32767,20040,6426,-29,-71,0
32767,20050,5998,-26,-76,7
32767,19818,5722,-30,-49,2
32767,19754,5808,-22,-7,-12
32767,19934,6206,-15,-3,-21
32767,20082,6568,-31,-27,-18
32767,20048,6380,-38,-59,-15
32767,20006,6024,-20,-68,-4
32767,19944,5800,-4,-49,4
32767,19946,5880,-18,-26,-10
32767,20100,6228,-50,-11,-26
32767,19854,6340,-76,-24,-35
32767,19932,6162,33,-60,1
32767,20200,6094,50,-58,11
32767,20376,6252,-11,-60,0
32767,20324,6086,-97,-63,-16
32767,19850,6112,-122,-50,-11
32767,19570,5934,-29,-26,7
32767,19932,6042,29,-12,9
32767,20318,6380,-12,-19,-7
32767,20192,6586,-77,-40,-18
32767,19840,6386,-89,-76,-14
32767,19694,6132,-21,-99,7
32767,19896,5742,31,-81,12
32767,20186,5730,10,-46,5
32767,20102,6160,-68,-13,-5
32767,19756,6384,-80,-19,-4
32767,19668,6336,-32,-41,3
32767,19880,6160,-4,-56,6
32767,19954,6188,-32,-58,-5
32767,19758,6162,-39,-52,-24
32767,19766,6132,6,-52,-16
32767,20180,6198,35,-53,-1
32767,20400,6114,-25,-44,-10
32767,20126,6084,-66,-33,-6
32767,19880,6202,-57,-31,1
32767,19838,6310,-23,-48,4
32767,20014,6250,-14,-61,0
32767,20018,6068,-22,-65,-4
32767,19970,5936,-21,-53,2
32767,19972,6034,-15,-39,3
32767,20112,6178,-7,-35,-5
32767,20208,6236,-27,-49,2
32767,19904,6196,-44,-52,7
32767,19638,6034,-7,-53,6
32767,19802,6138,57,-57,13
32767,20398,6224,39,-62,-1
32767,20196,6034,-56,-62,-13
32767,19354,5770,-25,-32,-7
32767,19534,5804,71,-18,-1
32767,20326,5958,91,0,-9
32767,20862,5868,-36,15,-49
32767,20390,6044,-141,50,-43
32767,20080,6110,-144,84,-11
32767,19838,6320,-98,80,-22
32767,20026,6712,-49,42,-5
32767,19822,6808,-32,-35,-5
32767,20076,6514,-8,-84,-22
32767,20186,6038,-11,-103,-3
32767,19990,5656,-23,-78,-7
32767,19962,5700,-21,-30,-18
32767,19948,6112,-19,-5,-14
32767,19988,6466,-45,-29,-10
32767,19850,6548,-58,-73,-15
32767,19562,5944,-13,-98,-5
32767,19838,5760,21,-86,-14
32767,20158,5878,-4,-59,-36
32767,20208,5898,-28,-31,-39
32767,20156,6042,-19,-12,-23
32767,20338,6084,-8,-7,-18
32767,20322,6394,-51,-11,-22
32767,20164,6426,-81,-33,-26
32767,19936,6282,-8,-79,8
32767,20162,6192,35,-97,21
32767,20378,5982,-19,-87,8
32767,19998,5788,-96,-60,-3
32767,19480,5944,-44,-23,1
32767,19838,6300,11,-30,-3
32767,20110,6284,-23,-41,-14
32767,19870,6102,-54,-56,-20
32767,19712,6026,-25,-56,-15
32767,19782,6110,31,-57,-2
32767,20176,6152,44,-56,-11
32767,20428,6120,-25,-52,-30
32767,20128,6066,-74,-52,-38
32767,20122,6046,-14,-54,2
32767,20320,5972,12,-50,26
32767,20510,5960,-41,-37,6
32767,20226,5880,-112,-13,-8
32767,19906,5972,-110,8,-2
32767,19982,6200,-65,5,6
32767,20018,6470,-36,-20,14
32767,19836,6284,-47,-48,19
32767,19724,6014,-49,-49,2
32767,19910,5852,-23,-36,-4
32767,19828,6186,-35,-31,23
32767,19790,6430,-39,-40,-2
32767,19614,6428,-42,-54,-8
32767,19594,6250,-4,-68,17
32767,19872,6060,16,-73,4
32767,20056,5946,-25,-54,-25
32767,20080,6134,-25,-35,-16
32767,20106,6154,-3,-36,-10
32767,20316,6248,24,-44,-2
32767,20382,6374,5,-57,12
32767,20314,6262,-15,-77,4
32767,20300,6144,-26,-90,14
32767,20224,5924,-34,-86,30
32767,20074,5806,-66,-48,16
32767,19860,5832,-82,-28,15
32767,19888,6020,-60,-1,-3
32767,20086,6154,-43,-6,22
32767,19854,6120,-62,-11,16
32767,19632,6290,-75,-24,20
32767,19540,6178,-85,-44,-41
32767,19518,6086,-31,-52,-4
32767,19700,5812,0,-33,-29
32767,19974,5804,15,-1,-36
32767,20148,6114,-1,28,-21
32767,20222,6312,-56,10,-30
32767,20094,6436,-97,-22,-39
32767,19884,6206,-85,-47,-25
32767,19952,5930,-32,-45,-4
32767,20044,5700,-32,-8,-8
32767,19966,5976,-75,16,-24
32767,19826,6060,-116,21,-46
32767,19632,6120,-119,24,-47
32767,19650,6090,-79,16,-48
32767,19678,6048,-33,21,-32
32767,19892,6136,-7,27,-26
32767,20040,6300,-24,22,-38
32767,20144,6420,-71,0,-42
32767,20118,6324,-86,-27,-36
32767,20092,5990,-60,-32,-18
32767,20062,5868,-42,-17,11
32767,19922,6044,-50,-17,17
32767,19706,6196,-71,-17,12
32767,19594,6190,-98,-17,-12
32767,19406,6040,-98,-22,-23
32767,19558,6102,-21,-8,-10
32767,19780,6454,-17,-58,-4
32767,19616,6326,-3,-84,4
32767,19682,6090,30,-99,11
32767,19708,6028,58,-103,12
32767,19816,5950,82,-84,17
32767,19646,6198,126,-72,35
32767,19322,6246,218,-103,55
32767,18654,6336,492,-162,112
32767,20224,5994,696,-180,166
32767,19774,5812,711,-161,161
32767,20106,5682,825,-122,169
32767,21018,5990,816,-126,183
32767,21894,6092,594,-123,88
32767,21376,6068,391,-125,57
32767,19990,5994,457,-118,66
32767,19400,6032,826,-123,141
32767,20090,6136,1281,-156,222
32767,22832,6054,1463,-215,238
32767,24708,5806,1163,-231,189
32767,24278,5532,708,-214,112
32767,22984,5336,507,-196,68
32767,22284,5434,629,-187,118
32767,21836,5462,927,-176,171
32767,23908,5260,1136,-201,200
32767,25492,5056,928,-177,152
32767,25294,5260,583,-156,93
32767,24314,5282,411,-150,71
32767,23304,5370,530,-139,104
32767,23708,5118,901,-141,148
32767,25440,5036,962,-155,139
32767,26088,5160,773,-156,139
32767,25420,5092,624,-172,118
32767,24864,4916,667,-184,116
32767,24710,4870,818,-186,132
32767,25126,4664,1008,-195,172
32767,25730,4660,1117,-191,181
32767,26746,4388,1154,-223,174
32767,26384,4292,1148,-225,192
32767,26114,4026,1352,-230,256
32767,27158,3572,1558,-248,278
32767,29490,3370,1500,-269,244
32767,30558,3206,1028,-261,200
32767,28490,3138,674,-234,210
32767,26844,3076,904,-217,295
32767,27198,2944,1420,-221,346
32767,28388,2480,1771,-220,418
32767,29190,2234,1882,-211,448
32767,29406,2204,1899,-200,448
32767,29344,1698,2053,-214,494
32767,29428,1350,2333,-269,537
32767,31510,284,2481,-314,520
32767,32767,-974,1940,-245,419
32767,32478,-1186,1506,-183,402
32767,30462,-1158,1566,-106,439
32767,31142,-1886,1877,-71,417
32767,32767,-2250,1800,-36,289
32767,32767,-2090,1468,90,186
32767,32767,-1814,1429,85,283
32767,32580,-1980,1638,5,377
32767,32767,-2890,1832,-92,409
32767,32767,-3476,1723,-117,473
32767,32767,-4122,1535,-127,504
32767,32767,-4256,1562,-170,507
32767,32767,-5126,1576,-191,482
32767,32767,-5898,1619,-123,463
32767,32336,-6396,1878,-44,451
32767,32767,-7170,2212,-6,382
32767,32767,-8086,2074,-22,226
32767,32767,-8610,1234,-68,80
32767,32767,-8652,556,-33,144
32767,32767,-8446,570,51,300
32767,32767,-8592,756,57,305
