a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
5552,21884,-8550,-28,56,-28,1038,32767,-8796,63,-35,11,8482,4878,-9590,-8,-16,12,24724,17560,1002,-39,-68,-27
5438,22262,-8494,-24,47,-20,1198,32767,-8570,37,-51,6,8516,4918,-9602,-16,4,-1,24664,17204,910,-76,-38,-24
5118,21752,-8512,-69,13,-14,1562,32767,-8616,7,-34,-5,8386,4956,-9820,-33,29,-19,24514,16932,1132,-49,-43,-16
5280,22110,-8482,-83,-32,-10,1450,32767,-8492,6,-1,-11,8196,4712,-9810,-61,48,-39,24526,17088,1140,-23,-55,-16
5692,21620,-8638,-84,-51,-18,1514,32767,-8560,-17,7,-21,8318,4504,-9624,-40,28,-43,24604,17030,1122,-32,-47,-18
5878,21358,-8550,-60,-21,-32,1542,32767,-8730,-8,14,-34,8508,4660,-9448,12,26,-33,24658,17146,1086,-12,-32,-17
5850,21608,-8678,3,21,-43,1444,32767,-8764,-46,25,-50,8350,5144,-9396,23,22,-25,24598,17206,1184,-18,-17,-20
5752,21960,-8684,35,55,-44,1056,32767,-8632,-53,22,-53,8282,5294,-9430,-8,14,-14,24432,17044,1232,-23,1,-29
5386,22012,-8720,7,53,-32,1268,32767,-8746,-5,7,-36,8156,5090,-9410,-37,18,-17,24286,17000,1268,-5,-9,-30
5624,22514,-8808,-12,-17,-9,1202,32767,-8754,16,1,-36,8160,4988,-9528,-28,11,-17,24282,17230,1188,12,-42,-27
5852,22124,-8790,-55,-27,-9,1248,32767,-8764,-32,6,-49,8352,4862,-9626,-24,23,-29,24458,17506,1148,8,-77,-27
6092,22268,-8886,-60,-6,-12,1290,32767,-8422,1,-15,-43,8354,4702,-9450,-29,7,-11,24710,17570,1036,-27,-80,-29
5682,22372,-8852,-54,45,-13,966,32767,-8470,2,-18,-16,8208,4904,-9278,3,-10,16,24546,17194,960,-61,-48,-27
5386,22236,-8746,-81,20,-7,996,32767,-8878,36,-52,-3,8400,5132,-9592,10,-16,36,24296,16918,1184,-41,-60,-24
5686,22418,-8848,-51,-14,-3,1406,32767,-9058,41,-56,-7,8482,5134,-9582,-18,9,32,24442,17068,1176,-22,-96,-23
5678,21916,-8892,-92,3,12,956,32767,-8470,9,-10,-17,8370,5186,-9726,-38,10,26,24676,17136,1190,-21,-85,-25
6006,22098,-8728,-41,-16,26,750,32767,-8412,52,-56,11,8436,5066,-9626,-65,24,12,24638,17168,1030,-20,-44,-26
5844,21882,-8794,-37,20,14,1478,32767,-8700,39,-82,1,8596,5024,-9638,-70,36,8,24520,17260,1144,-14,-33,-27
5070,22112,-8486,-71,37,-3,1080,32767,-8262,1,-43,-9,8478,4824,-9644,-77,57,5,24528,17322,1034,-22,-45,-25
5588,21194,-8560,-62,-108,-3,1342,32767,-8868,34,-77,-6,8284,4724,-9468,-73,42,9,24566,17330,1036,-35,-50,-16
6500,21760,-8964,2,-47,-3,1348,32767,-8624,3,-45,-21,8440,4760,-9448,-37,16,20,24592,17234,1094,-31,-50,-6
5094,21884,-8346,-3,113,-19,1080,32767,-8730,-45,-30,-29,8480,4982,-9510,-18,29,18,24612,17324,1170,-36,-33,-10
5312,21568,-8448,-31,-95,-11,1232,32767,-8576,-29,-61,-33,8372,5182,-9600,-42,49,3,24532,17200,1288,-44,-27,-13
6708,21616,-8832,-23,-84,-15,1270,32767,-8620,-31,-45,-27,8288,5032,-9502,-68,51,-4,24444,17206,1168,-39,-34,-13
