ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20472,5918,0,-96,2,24432,5380,5256,-22,20,9
32767,20498,5644,3,-63,13,24372,5380,5334,-36,24,-1
32767,20446,5694,-32,-11,-2,24278,5268,5258,-41,30,4
32767,20416,6316,-81,16,-36,24056,5084,5180,-42,27,9
32767,20302,6696,-67,-16,-38,24078,5182,5228,-32,18,9
32767,20780,6310,40,-86,-4,24250,5248,5162,-27,14,3
32767,21052,5982,38,-88,17,24460,5252,5160,-25,24,7
32767,20942,5936,-51,-79,12,24304,5180,5162,-22,42,15
32767,20078,6024,-129,-42,-13,24140,5284,5318,-17,41,19
32767,19898,5996,-70,-22,-22,24072,5412,5298,-17,27,10
32767,20222,5956,20,2,-3,24122,5486,5262,-22,11,3
32767,20640,6194,45,8,17,24312,5404,5160,-25,7,2
32767,20874,6642,-24,-25,-13,24436,5302,5268,-40,18,-6
32767,20528,6706,-89,-79,-30,24374,5120,5172,-44,31,11
32767,20216,6226,-63,-124,-18,24160,5016,5202,-38,37,17
32767,20454,5666,9,-112,-11,24092,5154,5146,-17,30,19
32767,20726,5408,35,-21,19,24328,5340,5260,-5,19,5
32767,20664,6176,-33,20,16,24362,5450,5338,-21,29,9
32767,20282,6528,-107,17,-11,24282,5332,5306,-27,32,18
32767,19764,6738,-122,-36,-21,24094,5378,5182,-36,29,10
32767,19644,6390,-29,-80,-31,24082,5306,5226,-35,24,10
32767,20188,5942,73,-88,-17,24172,5216,5114,-38,21,2
32767,20684,5654,78,-62,0,24310,5112,5326,-31,22,-3
32767,20946,5866,-26,-20,-34,24280,5014,5146,-37,29,6
32767,20544,6084,-76,1,-33,24008,5140,5238,-32,29,8
32767,20506,6230,-27,2,-18,23932,5130,5216,-39,19,9
32767,20906,6382,15,-16,2,24164,4998,5078,-25,5,1
32767,21074,6572,-16,-57,5,24458,5136,5168,-4,12,-4
32767,20752,6458,-73,-93,1,24410,5396,5254,0,31,16
32767,20190,5968,-74,-109,0,24282,5390,5326,-8,40,24
32767,19938,5586,-25,-78,8,24224,5456,5304,-12,38,23
32767,20230,5712,-3,-1,-7,24302,5564,5180,-15,33,16
32767,20556,6262,-61,21,-34,24142,5534,5400,-33,24,9
32767,20240,6574,-106,4,-42,24152,5354,5216,-48,17,0
32767,20016,6642,-59,-43,-25,24274,5164,5208,-56,16,-4
32767,20296,6280,36,-77,-20,24216,5048,5154,-56,29,5
32767,20844,5924,88,-75,-16,24088,4982,5162,-55,29,6
32767,21144,5892,61,-51,-8,24144,4904,5196,-41,25,-3
32767,21064,6056,-13,-34,-13,24238,4976,5182,-33,32,10
32767,20422,6190,-103,-43,-38,24186,5106,5212,-6,30,26
32767,20112,6184,-57,-57,-24,24136,5526,5212,20,24,14
32767,20348,6026,24,-57,6,24062,5776,5260,16,16,10
32767,20640,5882,24,-40,14,24266,5786,5318,-10,6,-3
32767,20580,6186,-62,-22,-7,24576,5586,5266,-48,15,-19
32767,20162,6280,-121,-22,-24,24418,5158,5194,-68,39,-2
32767,19756,6312,-95,-37,-31,24000,4938,5174,-53,49,15
32767,19850,6186,15,-47,-33,23894,5036,5196,-36,34,8
32767,20756,6044,120,-33,-20,24106,5220,5216,-38,19,2
32767,21422,6198,70,-25,-17,24342,5000,5170,-43,27,6
32767,21538,6432,-32,-40,-20,24352,4938,5228,-24,33,11
32767,20962,6472,-114,-78,-14,24276,5134,5238,-6,37,11
32767,20394,6222,-97,-102,6,24214,5332,5230,7,34,12
32767,20258,5782,-40,-94,23,24118,5474,5142,11,33,11
32767,20566,5540,-3,-5,21,24168,5590,5288,8,18,6
32767,20458,6126,-89,45,6,24278,5680,5272,-12,13,2
32767,20034,6822,-133,21,-23,24334,5514,5378,-33,15,9
32767,19802,6922,-90,-51,-39,24250,5320,5230,-49,22,12
32767,19996,6588,26,-122,-26,24082,5164,5158,-45,28,18
32767,20680,5772,97,-137,-11,24148,5154,5108,-40,24,19
32767,21048,5272,58,-84,2,24254,5140,5090,-34,25,8
32767,20788,5344,-21,5,-5,24338,5092,5246,-33,36,10
32767,20542,5886,-49,66,-18,24234,5118,5312,-33,49,20
32767,20614,6928,-40,36,-21,23972,5098,5224,-22,41,28
32767,20848,6840,-55,-36,-24,23908,5332,5268,-8,24,14
32767,20640,6496,-86,-101,-5,24056,5452,5214,-2,9,6
32767,20236,5870,-53,-115,13,24452,5482,5134,-6,17,-5
32767,20068,5498,17,-73,26,24420,5408,5168,-15,37,-1
32767,20260,5686,43,-3,16,24170,5332,5312,-23,55,13
32767,20372,6038,-2,51,-12,23978,5322,5320,-37,50,11
32767,20806,6776,-13,-3,-23,24010,5176,5246,-39,36,14
32767,20848,6816,-32,-73,-18,24108,5260,5176,-32,25,8
32767,20636,6396,-41,-135,2,24166,5302,5108,-23,25,9
32767,20390,5822,-21,-148,2,24208,5300,5190,-22,34,0
32767,20526,5380,4,-94,-10,24212,4966,5194,-20,38,16
32767,20826,5444,1,-18,2,24180,5190,5292,-15,40,11
32767,20814,6228,-85,41,3,24144,5402,5230,-18,31,12
32767,20264,6698,-117,13,-5,24100,5308,5244,-27,25,11
32767,19756,6746,-64,-51,2,24142,5410,5198,-24,19,7
32767,20076,6496,25,-109,-2,24180,5510,5270,-27,16,-1
32767,20654,6000,42,-121,-12,24072,5424,5124,-47,25,2
32767,20862,5794,-5,-89,-13,23948,5166,5200,-45,22,7
32767,20714,5736,-32,-37,-11,24118,5220,5230,-30,14,-8
32767,20462,6054,-35,9,-3,24338,5178,5208,-28,13,0
32767,20480,6306,-25,13,-1,24266,5148,5168,-24,20,3
32767,20472,6630,-37,-36,-5,24196,5280,5248,-19,18,1
32767,20514,6586,-32,-90,-16,23998,5378,5152,-32,17,11
32767,20572,6052,-17,-123,-4,24060,5278,5202,-32,7,15
32767,20526,5570,0,-95,4,24222,5250,5138,-24,3,5
32767,20552,5606,16,-37,7,24352,5342,5252,-16,6,0
32767,20644,5868,-23,12,0,24256,5246,5220,-29,18,3
32767,20536,6470,-76,11,-23,24210,5142,5242,-28,22,11
32767,20420,6538,-61,-25,-11,24084,5280,5210,-27,21,19
32767,20342,6258,-1,-68,6,24146,5372,5210,-25,8,21
32767,20566,6198,26,-86,6,24210,5384,5240,-29,13,9
32767,20702,6202,1,-95,-8,24226,5228,5124,-26,12,11
32767,20722,6340,-64,-118,-21,24266,5200,5294,-16,18,4
32767,20400,6060,-85,-122,-22,24180,5264,5240,-24,31,11
32767,20188,5526,-28,-96,1,24058,5244,5282,-28,28,22
32767,20654,5280,61,5,25,24122,5312,5202,-23,12,12
32767,20906,5762,23,73,24,24216,5424,5144,-23,9,3
32767,20668,6638,-87,71,-10,24254,5276,5170,-31,9,5
32767,20182,6900,-122,15,-37,24284,5130,5300,-23,15,3
32767,20116,6688,-47,-61,-25,24072,5272,5174,-33,25,10
32767,20616,6302,43,-117,-7,24004,5268,5118,-27,18,14
32767,21010,5920,44,-118,12,24008,5336,5166,-27,9,5
32767,20734,5568,-22,-85,21,24358,5260,5150,-15,4,0
32767,20108,5712,-60,-12,-8,24472,5288,5362,-8,29,6
32767,20234,6028,-25,17,-26,24324,5340,5356,-26,44,11
32767,20606,6484,-16,11,-14,24038,5334,5294,-34,37,18
32767,20832,6636,-31,-35,-10,23922,5346,5240,-37,18,7
32767,20716,6462,-57,-79,-17,24064,5334,5142,-34,-1,4
32767,20502,5920,-35,-92,0,24254,5232,5198,-27,-10,0
32767,20368,5586,9,-61,11,24424,5266,5186,-25,12,-3
32767,20562,5542,-3,-1,-7,24362,5200,5244,-37,32,5
32767,20498,6578,-83,11,-52,24198,4966,5272,-27,41,21
32767,20436,6836,-79,-36,-61,24154,5370,5202,-13,39,22
32767,20380,6412,-6,-87,-23,24130,5514,5286,-14,26,19
