A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
3812,1556,16220,342,3649,-1219,1196,14764,7224,-3881,1483,584,-7236,6376,11652,-2605,-187,-661,-7284,-428,12648,-3271,2097,-367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1536,792,20868,2948,3240,885,-320,9772,7076,-232,1194,782,-6992,8736,10740,815,-398,-121,-8092,-1104,12960,121,64,-579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2044,760,19328,3753,-2907,-18,404,15112,7160,5556,-584,571,-7524,9456,11408,128,-545,-251,-7700,-572,12036,1033,-502,-84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3832,908,17084,4480,-2191,-151,1328,15088,7480,-3120,480,-81,-6804,9084,11824,795,116,250,-7548,-112,12792,-396,911,-212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2336,444,16920,2590,1118,225,-360,11380,7700,1901,-405,312,-8040,9016,11488,-112,403,252,-8200,-540,12724,-297,11,-279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3136,320,17592,4769,918,-1995,840,14748,7080,5230,-816,383,-7416,9012,11128,1076,13,-423,-7820,-548,12560,285,177,-175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2988,2832,19172,4122,235,-1303,1028,14980,7088,-926,-145,-72,-6944,9480,11608,554,230,123,-7328,-396,12668,-10,300,-144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2280,1248,18868,4437,-1345,-353,-268,12316,7048,737,-300,-250,-7868,8188,11148,-239,-105,149,-7816,-496,12404,-328,122,-277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3068,2472,17180,7074,-633,-2196,908,14788,7276,3405,-894,254,-7528,9160,11568,819,123,-518,-8380,-516,12676,140,281,-232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2632,4804,18300,2107,86,-842,836,15152,6524,1030,-99,-112,-7516,9448,11656,950,-202,80,-7452,-448,12824,338,-214,-201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3172,1824,18124,1169,-1931,1359,-292,13896,6684,-1330,-1010,-497,-7652,9720,11056,193,-315,-125,-7820,-408,12316,-339,40,-163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2920,1636,16724,4558,136,-1502,1132,13756,7256,3394,-674,423,-6740,8392,11416,-933,402,-185,-7608,-672,12580,-380,634,-200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2720,5796,17572,3725,1792,-2034,636,15572,5980,-203,533,185,-8244,8008,11716,1959,-495,-3,-8192,-456,13036,120,211,-357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1972,3436,19324,878,-335,1820,-132,13200,6104,-1668,-414,-48,-7556,10976,11008,472,-657,-255,-7972,-412,12256,702,-572,-395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
