A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
1468,-7672,14552,-2765,-650,1356,-15868,1396,-4364,-1104,2777,-1004,-15252,4384,2272,-1490,670,-3915,-3884,-15356,1464,2872,-1875,-6572,-632,-15220,6332,2482,-4781,-5957,-15944,-3220,-768,502,19,-640
3252,-3956,17028,-3685,-217,1085,-16040,872,-3544,-218,3488,-1083,-15612,3956,572,-1142,1187,-3768,-3256,-16504,-180,2391,-1539,-6548,-24,-14116,6556,3697,-5019,-6212,-15696,-3140,-1620,1064,-572,-322
4956,-2128,15592,-3225,-176,296,-16240,-36,-2272,-14,2400,-1265,-16384,3480,488,-1132,114,-3718,-2300,-15956,-320,2472,-1302,-6582,432,-14532,6348,3147,-4579,-6061,-16128,-2772,-1924,528,-1370,-2
4456,-2308,15464,-1211,-841,1645,-15644,840,-872,-1691,1199,-1452,-14836,2360,504,-1336,-962,-3848,-1260,-15732,176,3293,-1136,-6061,1824,-15540,6276,2629,-4221,-5849,-15644,-3552,-944,-263,-2463,-812
3756,-672,16560,217,-1285,314,-15304,928,-2280,-258,-467,-1605,-14932,1608,1144,-1209,-2082,-3095,-1492,-16208,-320,3810,-742,-5511,932,-14612,6628,3664,-4028,-5897,-15500,-3956,-1348,593,-1895,-590
3104,-3584,13312,1145,-1329,314,-15360,276,-1932,-919,-1416,-1247,-14652,1092,892,-1089,-2603,-3025,-1004,-14832,1484,4074,-791,-5217,2320,-12608,6948,3367,-3588,-5471,-15496,-3820,-956,134,-1821,-618
4028,-4504,11300,1041,-1494,-687,-12368,-992,-2656,376,-1514,-1217,-11928,1552,1644,-480,-2950,-2919,-588,-13000,1336,3656,-365,-5001,2248,-12580,6540,3091,-3145,-5173,-14232,-3632,-532,1129,-2282,-668
4596,-2904,10840,394,-1873,-358,-10248,-1340,-2832,-206,-962,-2178,-10204,1428,2276,-720,-2163,-3323,-500,-11756,1796,2605,-809,-3916,2524,-12248,6808,2226,-3094,-3943,-14788,-3416,-1056,1218,-1432,2
2740,-3952,9536,-121,-2809,-118,-10652,-168,-2628,-230,-442,-2883,-9988,500,992,-740,-1236,-3349,-88,-11460,820,1245,-824,-2764,2584,-10988,6468,1270,-2409,-2473,-15364,-2696,-156,211,-2205,796
4224,-3632,7816,-886,-2201,-1730,-9616,-1188,-2600,1469,-293,-2776,-9436,788,1504,-58,-786,-2962,936,-10524,1780,121,-248,-1782,3840,-10476,6224,-574,-1360,-1384,-13856,-3456,-252,-1078,-1664,-11
2684,-2672,8604,-559,-3115,877,-9004,-268,-2192,-1238,196,-3219,-8400,584,1988,-695,290,-2726,1352,-10260,2196,-1790,-477,-352,4524,-11368,7100,-2151,-879,565,-15168,-4132,-652,-1498,-112,-96
1348,-2224,8624,-1428,-2533,123,-9968,680,-1948,-109,717,-2741,-9132,200,1800,-428,1464,-1543,1340,-11384,1368,-3132,-471,1655,4068,-12128,6364,-3330,133,2310,-14848,-4376,-640,-1733,-338,461
240,-5152,10336,-345,-1728,458,-12488,1148,-2096,-574,861,-1593,-11608,-64,2704,-213,1612,-124,1004,-12508,2128,-3639,-581,2960,3824,-11644,6352,-3805,548,3616,-14676,-4512,-404,-2329,38,1179
936,-2132,11792,-1609,824,461,-11544,1816,-4428,-21,1867,-285,-11292,1812,1892,-504,2721,1298,872,-13116,2252,-4225,-1019,3801,3788,-12608,7012,-4519,562,4670,-14596,-3832,348,-2365,930,1155
2188,-500,12768,-423,262,3748,-13060,1144,-2960,-3941,1705,-190,-12672,1056,560,-1664,3226,2086,512,-13896,288,-5131,-1233,4597,3232,-13024,6052,-4856,697,5087,-14356,-3708,60,-1616,1201,403
2708,-5800,13060,-435,672,1911,-15124,-284,-3576,-1646,1491,594,-15404,920,868,-1012,3082,2813,-632,-15656,132,-5189,-721,4574,2336,-13232,6236,-5486,1239,5209,-14844,-3704,-716,-1377,1424,519
3272,-5604,13572,-652,1531,2290,-15028,-288,-4188,-2011,1854,1141,-14996,892,420,-621,2675,2911,-632,-15936,216,-5107,-674,4819,1836,-15132,7180,-5881,1221,5341,-16404,-3300,-1036,-1793,960,649
