A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-3464,1292,16148,-3654,1667,-320,-14832,5860,-2932,-329,2727,-4814,-15548,960,-596,-1686,1915,-4825,-14924,1580,1056,-1423,1704,-5029,-13684,6596,-2208,-1171,2312,-3001,-14308,-3636,15832,-2338,-1848,-1152
-3220,1864,15448,-3080,1670,-169,-14196,5576,-3924,-154,3155,-4816,-15356,740,-1668,-1534,2317,-4856,-14400,1656,-92,-1064,2428,-5247,-13544,6136,-1992,-2273,2470,-3260,-13660,-3708,15836,-2960,-2313,-570
-2176,2916,14192,-3976,2051,-360,-13932,6768,-4924,0,3027,-4845,-15260,1352,-2652,-5,2160,-4396,-14856,1788,-1132,-155,2734,-5278,-13292,5656,-3272,-2652,2035,-3231,-12932,-4916,14940,-3032,-1637,254
-3632,1456,15184,-4697,2428,-751,-14408,5876,-4748,-1083,3261,-5298,-16044,1844,-3068,-1334,2170,-4687,-14844,3344,-2040,-1398,2597,-5342,-13168,5548,-4572,-2511,2582,-2668,-13376,-5416,15148,-2703,-1362,796
-4176,184,16864,-4227,2577,-1093,-14300,5520,-5112,-1703,2977,-5786,-15360,1836,-2412,-1904,1845,-4776,-15364,2032,-1120,-2826,2133,-5041,-14396,5488,-4536,-3420,3502,-2052,-13816,-6120,15024,-2370,-2248,1275
-4620,-144,16220,-830,674,-361,-16600,3520,-4080,-1702,3156,-6370,-16500,-1480,-2232,-2265,1470,-5689,-15752,-84,-1120,-3862,2319,-4574,-15224,4212,-4184,-5314,3902,-1774,-14324,-6272,14900,-2440,-2779,1306
-3644,792,15348,-304,451,-10,-14872,4096,-4824,-332,2242,-6178,-15480,-1656,-2944,-1479,1533,-5472,-14748,-1688,-2036,-2180,1910,-4264,-14368,3300,-5132,-4987,2995,-1710,-13588,-6000,14640,-2253,-2396,1734
-3744,856,15336,-34,944,-232,-14888,3716,-5360,-1250,2453,-5235,-15284,-3168,-3268,-2460,1234,-4690,-14644,-2632,-2800,-1787,1936,-4467,-13980,3004,-5804,-4395,3547,-2416,-13580,-5224,14816,-3048,-2620,2169
-4136,1344,15432,-669,595,-430,-15124,3016,-5524,-1375,2197,-4258,-15216,-3604,-3676,-2166,1328,-3806,-14768,-3116,-3244,-1663,1969,-4597,-14408,3208,-6424,-5048,3906,-2786,-14108,-5664,15192,-3341,-2664,2332
-4624,1328,15600,-2236,-3,-1208,-13908,4684,-7552,-3694,2333,-3835,-15280,-1044,-4720,-4270,1101,-2981,-14708,-720,-4328,-2231,1744,-4390,-14252,2532,-6080,-4818,3433,-3072,-13172,-6424,15576,-3227,-1915,2690
-4284,1184,15644,-2255,-1491,-1815,-13624,4104,-6476,-5918,3232,-3907,-15300,-36,-4148,-6998,902,-2895,-14284,912,-3236,-5307,1000,-4329,-13592,3492,-5820,-4431,3901,-2953,-12736,-5248,15368,-2472,-636,2424
-4912,-548,16200,-1212,-1553,-1387,-16296,896,-4984,-4463,2810,-3855,-16028,-3812,-4068,-5508,959,-3238,-15476,-2416,-2672,-4474,1874,-3468,-15600,3376,-5964,-4910,4544,-1978,-14884,-5168,14916,-2705,671,1317
-3328,192,15632,-570,-1032,-677,-15928,1924,-5376,-371,1108,-3570,-15880,-3604,-3848,-921,1094,-3305,-15692,-3348,-2588,343,1710,-2939,-16056,852,-5916,-2500,3103,-1520,-15024,-5816,15268,-2619,111,1071
-4116,24,15596,-409,-360,-318,-15772,2460,-5912,-8,362,-3352,-15748,-3188,-4804,-226,493,-3208,-15376,-2704,-3556,2091,1217,-2577,-15236,1852,-6524,-254,2092,-1404,-13984,-6372,15280,-1982,788,989
-3868,16,15480,-558,-389,-313,-15240,1352,-6320,446,-499,-2951,-15612,-3732,-5472,1233,53,-3003,-14664,-2372,-4216,2726,1291,-2153,-14628,3080,-6848,180,2156,-1252,-14180,-5556,14952,-1207,1514,680
-3712,-60,15328,-533,-342,-383,-14852,2180,-5572,1259,-1028,-2893,-15484,-2336,-3628,1801,184,-2956,-14860,-1592,-2800,1745,1769,-1875,-14664,2988,-6220,2,2324,-897,-14288,-5240,14684,-68,1429,-161
-3616,-156,15780,-350,-150,-350,-15480,2212,-5636,823,-785,-2887,-16020,-2976,-3600,1583,-86,-3020,-15392,-2888,-2548,2460,1099,-1863,-15668,2356,-6012,540,1934,-683,-14888,-5252,14640,363,1373,-638
-3848,64,15592,-495,-145,-386,-14876,1456,-5864,1274,-1014,-2850,-15188,-3596,-3720,2454,-22,-3015,-14900,-2932,-2776,3331,1113,-1575,-14976,2480,-5344,1900,913,-857,-14472,-5064,14740,754,609,-430
-3784,-424,15604,-461,-289,-306,-15172,1660,-4704,1008,-776,-2970,-15532,-2260,-2560,1967,-11,-3093,-15148,-1480,-2056,3104,712,-1893,-14296,4280,-6120,1966,642,-951,-14148,-4260,14912,1186,977,-394
-3788,4,15696,-282,0,-224,-15616,1604,-6108,195,-813,-3155,-15788,-3128,-4372,795,-522,-3183,-15116,-1840,-3840,2045,744,-1740,-15192,3492,-5660,1000,1092,-1075,-14952,-4664,14996,1682,1060,-784
-3780,-212,15432,-267,-114,-337,-15244,432,-5320,801,-1348,-3133,-15152,-4128,-3676,1780,-700,-3278,-14692,-2728,-3212,2139,954,-1892,-14324,3120,-6120,1221,917,-810,-14044,-4340,14808,2427,643,-710
-3584,16,15276,-274,-216,-269,-15196,1376,-5436,1075,-1271,-3301,-15456,-3672,-3252,2136,-657,-3532,-15248,-2968,-2120,2969,475,-1964,-14988,3048,-6332,2004,864,-979,-14688,-4112,14548,2993,1008,-826
-3436,-68,15496,-288,232,-448,-16068,616,-5664,1331,-1254,-3155,-15864,-5516,-4084,2214,-656,-3433,-15524,-3872,-3972,4358,590,-2199,-15324,3584,-6532,3195,-27,-1220,-15504,-3820,14916,2778,981,-553
-3836,-308,15576,-36,645,-493,-15824,84,-5452,2185,-1742,-2719,-15484,-5016,-4000,3327,-811,-3280,-15048,-2812,-3704,4792,255,-2510,-14660,3336,-6672,1982,181,-1715,-15024,-3596,14572,3085,1186,-486
-3540,-1748,15616,398,1068,-486,-16464,-1316,-4004,3600,-2191,-2797,-15996,-4448,-3556,4603,-1096,-3643,-14984,-2136,-3664,5246,3,-2399,-14876,3308,-6816,2147,112,-1701,-15088,-3508,14600,3461,1083,-677
-3772,1344,15432,-118,1494,-785,-14984,1876,-7024,3653,-2785,-3093,-15424,-2280,-4688,4650,-951,-3730,-15060,-2244,-3340,5320,-547,-2484,-15180,2764,-6120,3449,-682,-1958,-15696,-3472,14140,3575,864,-961
-4280,520,15476,-963,1821,-1137,-15768,228,-5360,1547,-2879,-3555,-15444,-3380,-4188,2457,-1987,-4187,-14792,-816,-4288,4414,-186,-2620,-14052,4136,-6108,3458,-934,-1742,-14804,-3452,15780,3685,-531,-997
-3968,-1652,15416,-901,2251,-1244,-16192,-988,-3648,2353,-3302,-4396,-15280,-3992,-2428,2397,-2036,-5059,-14788,-1144,-2504,2856,-373,-2584,-13460,4644,-7088,1477,45,-1179,-14176,-2756,15736,2375,780,-673
-3640,928,15712,193,3148,-157,-16524,868,-4184,4030,-4003,-5284,-16184,-4628,-1376,3757,-2016,-5854,-15928,-4188,-1892,3008,-501,-2595,-15976,2808,-6588,13,586,-954,-16100,-2836,15184,-447,1811,-285
-3864,-380,15380,47,5287,-490,-17448,-780,-3872,1437,-3552,-5010,-16836,-7772,-1900,1007,-2897,-5474,-16000,-5440,-2984,1877,-1555,-3079,-16064,2948,-6960,-915,-354,-1871,-16272,-3540,15220,-1598,1519,293
-4076,-176,15516,162,7222,9,-16928,-1924,-2992,2925,-4008,-4564,-15312,-7084,-1164,2783,-2911,-5092,-15220,-4956,-876,2202,-2281,-3159,-15988,704,-6020,-2118,-177,-1875,-15732,-5460,14888,-1184,1307,41
-4540,-1144,15252,1428,9548,535,-16980,-2188,-2140,4512,-4337,-4278,-15468,-7932,-208,4644,-2698,-5271,-15488,-5768,-148,3547,-2002,-2178,-17016,-528,-4952,-1604,-1304,-1501,-14852,-6208,14868,-224,958,-438
-5648,1468,14720,-4,11145,680,-15808,-512,-3712,5493,-4540,-4394,-15072,-5396,-664,6163,-2447,-4989,-14916,-5404,-388,5944,-2594,-1637,-15972,0,-5480,651,-2848,-1184,-14192,-5256,15248,1135,796,-369
-6768,180,14592,-548,11788,134,-15524,-2140,-3392,3757,-4266,-4465,-14176,-7124,-1860,4886,-2673,-4962,-13924,-4584,-2000,5906,-2372,-1304,-14152,928,-5920,2431,-3113,-998,-13616,-4096,15456,1281,331,-91
-7784,-644,13920,-372,11561,-199,-15400,-3528,-2248,5469,-4474,-4293,-13344,-7328,-1556,5951,-2211,-5011,-13832,-4132,-1192,5795,-2353,-908,-13540,1484,-6080,1624,-2544,-404,-13744,-4436,14612,778,1164,-207
-8244,1192,13764,-1725,11254,-609,-15260,-1304,-3044,6023,-4549,-4743,-14288,-5500,-652,7205,-2250,-5164,-14572,-4900,-964,6038,-2406,-420,-14944,520,-5532,1695,-1794,738,-14152,-5740,14904,618,1321,-134
-9360,564,13240,-2976,11109,-1742,-16104,-2244,-3024,2833,-3905,-5178,-14556,-7212,-668,4503,-2803,-4989,-14980,-4568,-580,5306,-2780,-138,-15932,-236,-4576,3487,-2667,1309,-14612,-5752,15584,1189,1174,140
-9700,-576,12956,-3247,11127,-2276,-15588,-3960,-732,3715,-3680,-5232,-13344,-7616,540,5328,-2322,-5131,-14232,-3928,188,5733,-2645,837,-15036,768,-4844,2568,-2196,1508,-14308,-5116,15356,2337,1305,-232
-9916,-840,12812,-3668,11759,-2652,-16688,-2712,-1212,4057,-3504,-5976,-14856,-6028,1032,5753,-2215,-5610,-15328,-3188,1544,6291,-2886,1710,-15104,696,-4400,3143,-2409,2138,-14560,-5200,14688,2425,1484,-483
-10680,-1128,12436,-3835,13033,-3476,-15936,-2912,-1100,3662,-3072,-7080,-14256,-5072,1088,5497,-2258,-6442,-14604,-1476,756,6715,-3541,3455,-15288,1004,-4200,3817,-3460,3570,-14212,-5392,14900,2446,1139,-467
-10712,-1012,12256,-3143,14711,-4629,-17252,-1552,-2448,2701,-2635,-8818,-15868,-5052,400,4186,-1942,-7349,-14976,-416,724,4860,-3370,4468,-14776,1536,-3432,4032,-4272,4859,-13664,-5612,15344,2528,1340,-147
-13292,-1796,12500,-3372,16018,-6162,-16620,-4600,-1628,1984,-2834,-9767,-14212,-7092,552,3394,-1909,-8001,-14792,-1124,700,5709,-3449,6174,-14484,2564,-2880,3626,-5015,5994,-13700,-4884,15860,2414,1553,-1
-13824,-688,13212,-3155,16698,-7991,-18492,-3936,-1748,2850,-2307,-10502,-15748,-7712,268,3248,-720,-8462,-15756,376,528,4801,-2286,7825,-14044,2160,-3560,2936,-3713,7521,-13688,-4648,15372,2695,1145,-394
-14368,-848,13728,-5568,16519,-9734,-17320,-3488,-2624,1877,-3030,-9985,-15028,-8580,-1320,953,-1449,-8971,-16460,-1644,304,1318,-2008,8607,-14928,3680,-3120,2878,-2852,8865,-13844,-4504,15624,1857,1210,49
