a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
4938,20454,-18828,-49,4,6,3032,32676,-14300,100,-110,1,10880,2662,-3256,-25,25,3,23692,11814,-2582,-11,-37,6
5032,20460,-18920,-4,11,6,2964,32473,-13868,46,-36,-5,10728,2686,-3258,-18,23,6,23670,11854,-2588,-20,-33,0
5008,20606,-18918,-4,-23,5,2360,32719,-13942,-4,-32,-15,10814,2662,-3196,-25,22,5,23672,11764,-2654,-21,-22,1
4990,20510,-18852,-78,1,9,2562,32465,-13660,2,-78,-16,10834,2600,-3148,-30,31,5,23682,11650,-2734,-4,-24,7
4798,20944,-18958,-35,0,10,3130,32431,-14138,41,-58,-13,10744,2614,-3258,-28,32,6,23676,11786,-2674,7,-18,6
4858,20626,-19080,-71,-6,27,2692,32655,-13812,13,-23,-22,10736,2570,-3204,-32,33,3,23520,11846,-2704,-3,-3,1
4552,20804,-19070,-27,-3,28,2566,32415,-13762,3,-45,-18,10648,2516,-3224,-19,31,5,23386,11898,-2570,-10,-4,-3
4936,20726,-18906,-81,-34,-4,2984,32723,-14132,46,-62,-9,10714,2516,-3194,-4,27,9,23546,11786,-2678,-3,-45,-4
4854,20490,-18936,-23,-12,-19,2880,32347,-14030,37,-34,-10,10812,2658,-3300,1,27,11,23612,11822,-2638,0,-28,-7
4744,20596,-18974,-15,-1,-40,2406,32533,-13800,-1,-33,-9,10740,2774,-3146,-6,35,11,23504,11898,-2582,-3,-31,-12
4522,20590,-18948,-9,-32,-39,2552,32606,-13992,6,-64,-5,10750,2716,-3172,-23,34,10,23526,11954,-2700,-12,-58,-16
4944,20768,-18906,-54,-66,-19,2714,32698,-14008,35,-54,-2,10680,2612,-3186,-33,39,12,23640,11906,-2650,-9,-55,-13
4678,20660,-18914,-19,-13,-14,2526,32692,-13874,30,-29,-2,10692,2584,-3226,-30,35,14,23570,11860,-2616,-18,-42,-16
4714,20778,-18836,-62,-45,-16,2564,32683,-13738,31,-47,-1,10796,2540,-3090,-26,28,15,23582,11882,-2586,-12,-60,-18
4986,20044,-18778,-76,-46,-19,2682,32736,-14128,50,-54,2,10588,2688,-3280,-14,32,15,23740,12106,-2726,-13,-71,-17
4798,20534,-18852,-14,-13,-15,2564,32623,-14056,50,-41,2,10784,2748,-3246,-17,25,20,23680,11976,-2644,-31,-58,-16
