ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20260,6194,-34,-39,5,25176,4244,5214,-6,-2,9
32767,20274,6256,-51,-50,7,25090,4308,5210,6,5,17
32767,20120,6232,-62,-65,4,25068,4466,5314,20,9,19
32767,19914,6050,-35,-65,8,25016,4714,5206,19,14,19
32767,20028,5778,5,-38,17,25044,4800,5338,-7,23,18
32767,20224,5844,-14,-8,4,25032,4722,5350,-35,29,20
32767,20206,6218,-81,-7,-6,24956,4512,5304,-45,35,26
32767,19684,6448,-107,-23,-10,24826,4444,5270,-46,34,13
32767,19508,6430,-52,-55,-17,24798,4644,5230,-48,26,5
32767,20476,5778,-36,-11,-11,24922,4598,5230,-81,21,8
32767,20214,6142,-108,7,-25,25090,4258,5300,-87,25,13
32767,19978,6384,-110,-1,-26,25024,3990,5260,-72,35,13
32767,19842,6454,-66,-29,-13,24942,4030,5322,-20,39,9
32767,20002,6338,-15,-49,-11,24912,4332,5290,3,40,2
32767,20118,6120,-3,-52,-6,24918,4510,5308,9,32,8
32767,20134,6150,-15,-58,-8,25048,4438,5148,-4,34,21
32767,20042,6148,-30,-62,-18,25062,4422,5268,-2,50,19
32767,20124,6082,-41,-61,-24,24852,4510,5306,-5,59,11
32767,20030,6000,-47,-54,-11,24670,4590,5302,-9,49,16
32767,19856,5958,-28,-43,1,24724,4670,5312,-18,29,10
32767,19920,5962,-16,-30,-2,24912,4784,5244,-33,20,-3
32767,20028,6182,-37,-25,-11,24942,4710,5246,-65,19,-7
32767,19914,6326,-67,-38,-20,24992,4598,5330,-86,19,-6
32767,19786,6296,-55,-49,-21,25030,4314,5226,-95,22,-3
32767,19776,5976,6,-43,-11,24978,4120,5160,-80,29,1
32767,20068,5920,22,-24,-9,24952,4176,5196,-50,34,3
32767,20304,6214,-9,-21,-17,24948,4366,5130,-37,32,0
32767,20298,6404,-59,-33,-23,25016,4302,5184,-38,30,9
32767,20044,6382,-81,-53,-16,25080,4110,5302,-30,32,12
32767,19788,6024,-49,-56,-12,24984,4144,5294,2,35,10
32767,19924,5930,2,-46,-1,24856,4458,5252,19,27,7
32767,20116,5888,11,-25,3,24930,4634,5112,11,25,6
32767,20138,6348,-38,-25,-14,25066,4630,5344,-18,25,8
32767,20102,6324,-64,-39,-19,24992,4470,5258,-32,32,13
32767,19934,6278,-67,-60,-16,25024,4370,5310,-21,29,10
32767,19930,6098,-48,-67,-4,24980,4622,5178,-16,28,1
32767,19980,5982,-26,-54,4,24922,4740,5292,-41,26,4
32767,19998,5870,-21,-29,1,24958,4580,5252,-67,28,6
32767,19906,6088,-30,-15,0,24966,4310,5340,-79,28,5
32767,19872,6380,-44,-34,-12,25006,4222,5296,-66,34,1
32767,19826,6376,-49,-59,-23,24948,4244,5240,-49,37,7
32767,19844,6064,-28,-71,-16,24832,4348,5256,-37,30,9
32767,19996,5882,-6,-58,-13,24712,4482,5184,-38,25,9
32767,20168,5892,-7,-35,-14,24760,4364,5240,-49,15,9
32767,20210,6216,-26,-27,-7,24938,4358,5266,-48,10,4
32767,20206,6342,-47,-34,-3,25072,4234,5352,-47,14,2
32767,19988,6252,-70,-47,-4,25004,4122,5302,-25,27,12
32767,19812,5866,-47,-41,-14,24892,4196,5160,-2,29,13
32767,19884,5984,-25,-21,-6,24824,4446,5176,13,27,5
32767,19930,6130,-17,-5,-9,24836,4656,5208,-8,21,3
32767,19980,6478,-27,-27,-12,24894,4500,5312,-40,20,15
32767,19970,6532,-32,-53,-15,24928,4348,5282,-37,21,14
32767,19948,6304,-31,-76,-8,24992,4426,5294,-33,27,6
32767,19966,6032,-36,-83,-7,24938,4538,5268,-37,33,2
32767,19906,5862,-49,-68,-15,24876,4552,5216,-53,34,8
32767,19948,5992,-45,-36,-19,24824,4346,5270,-65,28,3
32767,19998,6074,-41,-14,-17,24908,4250,5306,-55,24,-3
32767,19986,6212,-33,-16,-15,24888,4186,5348,-45,24,-1
32767,20014,6318,-26,-36,-17,25042,4178,5294,-25,18,11
32767,20080,6324,-23,-56,-17,24976,4248,5234,-8,28,7
32767,20216,6216,-42,-74,-14,24916,4390,5144,-11,30,6
32767,20108,6082,-75,-73,-13,24914,4392,5184,-15,29,14
32767,19824,5786,-72,-59,-6,24968,4432,5234,-19,21,9
32767,19792,5850,-6,-22,9,25018,4458,5184,-16,22,6
32767,20024,5976,0,-1,4,24970,4562,5326,-24,27,4
32767,20152,6226,-69,-5,-17,24914,4630,5254,-39,35,2
32767,19786,6362,-117,-24,-23,24896,4554,5294,-64,31,4
32767,19512,6300,-87,-52,-21,24948,4390,5246,-76,31,6
32767,19574,5978,-6,-54,-7,24936,4350,5202,-74,35,3
32767,19886,5864,28,-31,4,24898,4386,5208,-77,33,0
32767,20210,5922,-16,3,-16,24882,4346,5150,-82,37,2
32767,19914,6416,-97,4,-38,24946,4150,5340,-86,42,4
32767,19654,6474,-33,-48,-6,24846,4034,5168,-66,51,9
32767,19822,6194,7,-76,-10,24776,4048,5240,-39,50,5
32767,19902,6034,-4,-72,-12,24688,4258,5256,-21,43,1
32767,19906,6060,-38,-64,-30,24840,4408,5198,-34,33,4
32767,19822,6118,-17,-47,-21,24954,4344,5196,-46,31,1
32767,19956,5936,22,-31,-4,24904,4134,5384,-53,37,5
32767,20106,6168,9,-28,-3,24682,4016,5236,-31,36,11
32767,20032,6494,-43,-37,-9,24694,4266,5202,-9,21,5
32767,19720,6542,-63,-62,-14,24894,4412,5308,-15,7,-6
32767,19458,6310,4,-89,-2,25022,4414,5136,-23,12,2
32767,19702,6118,91,-102,13,24978,4232,5330,-38,17,4
32767,20096,5916,66,-94,10,24806,4268,5166,-22,23,3
32767,20054,5912,-3,-87,-9,24822,4340,5186,-24,8,4
32767,19912,5950,-33,-84,-21,24960,4358,5272,-36,6,1
32767,19970,5820,-14,-72,-9,24864,4286,5262,-44,10,7
32767,20086,5614,7,-41,4,24588,4060,5270,-35,-2,13
32767,20278,5688,-13,1,1,24600,4058,5186,-7,-29,6
32767,20308,6008,-62,33,-7,24852,4256,5146,4,-47,-6
32767,20356,6614,-100,19,-11,25116,4228,5196,9,-40,4
32767,20070,6706,-124,-40,-9,25170,4016,5270,11,-11,18
32767,19640,6398,-57,-84,16,25024,4032,5204,41,9,21
32767,19562,6040,35,-87,28,25040,4306,5260,63,24,21
32767,19882,5960,77,-72,20,24986,4674,5160,62,35,23
32767,20130,6188,22,-52,5,25074,4834,5228,19,39,21
32767,20016,6300,-45,-56,-16,25116,4730,5288,-20,44,27
32767,19906,6202,-64,-62,-18,25050,4548,5388,-41,50,25
32767,19814,5936,-25,-57,5,24742,4444,5328,-42,49,20
32767,19864,6034,-16,-38,8,24706,4642,5298,-43,11,7
32767,19850,6296,-42,-44,-8,24864,4712,5248,-67,-2,-8
32767,19690,6382,-37,-62,-17,25160,4494,5252,-108,-12,-9
32767,19840,6226,-13,-81,-21,25234,4004,5286,-114,5,5
32767,20058,6000,7,-80,-19,24990,3730,5218,-82,28,10
32767,20142,5788,1,-57,-9,24756,3854,5180,-31,30,8
32767,20112,5838,-9,-28,-6,24690,4258,5194,-2,20,10
32767,20142,6286,-12,-36,-6,24802,4470,5146,-7,9,12
32767,20252,6424,-45,-64,-6,24878,4362,5250,-26,10,10
32767,20098,6134,-67,-84,-8,24844,4060,5216,-15,6,14
32767,19826,5762,-45,-69,1,24894,4140,5284,8,5,7
32767,19832,5684,1,-31,10,24900,4420,5234,20,9,6
32767,20156,5976,8,0,5,24892,4610,5136,9,9,9
32767,20178,6384,-52,-8,-8,25012,4554,5202,-13,7,10
32767,19972,6596,-84,-35,-13,25110,4438,5332,-39,8,7
32767,19666,6302,-51,-75,-5,25142,4222,5300,-36,22,16
32767,19776,5914,13,-69,2,25006,4210,5254,-24,28,16
32767,20042,5786,13,-38,-2,24848,4556,5122,-10,25,6
32767,20010,6176,-23,-20,-17,24938,4674,5226,-38,21,6
32767,20006,6386,-43,-28,-23,25100,4432,5234,-63,25,13
32767,19954,6398,-47,-53,-16,25082,4098,5450,-71,31,10
32767,19960,6230,-16,-72,-8,24950,4042,5252,-39,38,12
32767,19980,5926,4,-65,-3,24816,4192,5248,-15,30,10
32767,20136,5848,-15,-28,-9,24802,4460,5156,-5,22,4
32767,20100,6246,-52,-23,-24,24910,4528,5182,-24,12,5
32767,20020,6482,-57,-42,-20,24992,4250,5292,-43,10,6
32767,20040,6426,-29,-71,0,25050,4084,5286,-28,19,9
32767,20050,5998,-26,-76,7,24946,4188,5328,-4,24,14
32767,19818,5722,-30,-49,2,24976,4436,5260,4,23,5
32767,19754,5808,-22,-7,-12,24876,4714,5206,-14,24,3
32767,19934,6206,-15,-3,-21,24998,4656,5130,-50,19,5
32767,20082,6568,-31,-27,-18,25064,4300,5286,-72,22,5
32767,20048,6380,-38,-59,-15,24988,4066,5282,-52,28,9
32767,20006,6024,-20,-68,-4,24898,4174,5278,-15,23,10
32767,19944,5800,-4,-49,4,24906,4510,5204,-8,16,5
32767,19946,5880,-18,-26,-10,24968,4560,5220,-30,12,3
32767,20100,6228,-50,-11,-26,25046,4462,5204,-53,18,6
32767,19854,6340,-76,-24,-35,25070,4178,5358,-64,25,2
32767,19932,6162,33,-60,1,24960,4044,5330,-29,35,10
32767,20200,6094,50,-58,11,24822,4210,5294,-9,28,8
32767,20376,6252,-11,-60,0,24810,4454,5244,1,19,6
32767,20324,6086,-97,-63,-16,25054,4576,5178,-20,6,11
32767,19850,6112,-122,-50,-11,25114,4448,5258,-52,21,3
32767,19570,5934,-29,-26,7,24978,4226,5252,-48,29,5
32767,19932,6042,29,-12,9,24870,4050,5328,-34,28,14
32767,20318,6380,-12,-19,-7,24898,4280,5216,3,22,1
32767,20192,6586,-77,-40,-18,25016,4492,5354,-4,14,-4
32767,19840,6386,-89,-76,-14,25118,4478,5200,-21,20,13
32767,19694,6132,-21,-99,7,25160,4304,5252,-44,32,21
32767,19896,5742,31,-81,12,25034,4192,5276,-32,41,15
32767,20186,5730,10,-46,5,24852,4360,5264,-16,37,16
32767,20102,6160,-68,-13,-5,24872,4618,5186,-19,28,9
32767,19756,6384,-80,-19,-4,24956,4672,5200,-53,29,3
32767,19668,6336,-32,-41,3,24916,4336,5402,-81,26,13
32767,19880,6160,-4,-56,6,24858,4104,5242,-66,26,12
32767,19954,6188,-32,-58,-5,24862,4116,5238,-41,19,4
32767,19758,6162,-39,-52,-24,24958,4410,5226,-30,19,-3
32767,19766,6132,6,-52,-16,24888,4520,5130,-51,25,7
32767,20180,6198,35,-53,-1,24928,4196,5242,-76,21,11
32767,20400,6114,-25,-44,-10,24946,3948,5210,-56,22,10
32767,20126,6084,-66,-33,-6,24926,4018,5240,-28,28,14
32767,19880,6202,-57,-31,1,24834,4202,5242,-6,27,15
32767,19838,6310,-23,-48,4,24860,4346,5244,-1,20,11
32767,20014,6250,-14,-61,0,24970,4246,5256,-1,14,10
32767,20018,6068,-22,-65,-4,25014,4178,5238,5,19,12
32767,19970,5936,-21,-53,2,24994,4294,5290,14,15,11
32767,19972,6034,-15,-39,3,24956,4518,5274,6,16,8
32767,20112,6178,-7,-35,-5,24976,4516,5212,-18,21,16
32767,20208,6236,-27,-49,2,24970,4516,5210,-37,25,11
32767,19904,6196,-44,-52,7,25002,4360,5260,-51,18,7
32767,19638,6034,-7,-53,6,25076,4302,5282,-56,22,8
32767,19802,6138,57,-57,13,24982,4186,5182,-43,24,13
32767,20398,6224,39,-62,-1,24940,4160,5178,-26,22,10
32767,20196,6034,-56,-62,-13,25010,4396,5176,-21,24,5
32767,19354,5770,-25,-32,-7,24934,4378,5174,-39,26,14
32767,19534,5804,71,-18,-1,24870,4236,5270,-47,25,18
32767,20326,5958,91,0,-9,24848,4166,5282,-32,19,14
32767,20862,5868,-36,15,-49,24988,4164,5160,-11,14,14
32767,20390,6044,-141,50,-43,24980,4304,5106,3,18,12
32767,20080,6110,-144,84,-11,24980,4500,5348,-12,18,5
32767,19838,6320,-98,80,-22,25026,4340,5220,-23,28,15
32767,20026,6712,-49,42,-5,24978,4122,5270,-29,35,17
32767,19822,6808,-32,-35,-5,25166,4262,5170,1,49,-3
32767,20076,6514,-8,-84,-22,25274,4284,5426,-25,68,4
32767,20186,6038,-11,-103,-3,25182,4388,5220,-7,98,16
32767,19990,5656,-23,-78,-7,24924,4234,5352,-44,117,15
32767,19962,5700,-21,-30,-18,24764,4198,5240,1,114,34
32767,19948,6112,-19,-5,-14,24444,4484,5112,-11,100,27
32767,19988,6466,-45,-29,-10,24458,4642,5338,-14,63,17
32767,19850,6548,-58,-73,-15,24496,4596,5364,-33,47,11
32767,19562,5944,-13,-98,-5,24666,4300,5436,-32,28,17
32767,19838,5760,21,-86,-14,24784,4322,5270,-18,31,5
32767,20158,5878,-4,-59,-36,24514,4560,5218,-30,34,0
32767,20208,5898,-28,-31,-39,24350,4572,5162,-48,28,-6
32767,20156,6042,-19,-12,-23,24518,4350,5194,-84,11,-5
32767,20338,6084,-8,-7,-18,24714,3896,5156,-79,4,8
32767,20322,6394,-51,-11,-22,24924,3594,5236,-31,-3,11
32767,20164,6426,-81,-33,-26,24842,3866,5240,30,7,2
32767,19936,6282,-8,-79,8,24750,4384,5198,56,1,2
32767,20162,6192,35,-97,21,24988,4644,5262,33,1,5
32767,20378,5982,-19,-87,8,25056,4540,5136,11,13,6
32767,19998,5788,-96,-60,-3,25030,4390,5244,14,26,14
32767,19480,5944,-44,-23,1,25044,4588,5240,21,24,4
32767,19838,6300,11,-30,-3,25122,4898,5298,-5,26,-4
32767,20110,6284,-23,-41,-14,25054,4776,5264,-51,21,10
32767,19870,6102,-54,-56,-20,24932,4540,5286,-73,24,15
32767,19712,6026,-25,-56,-15,24750,4468,5296,-71,23,2
32767,19782,6110,31,-57,-2,24792,4632,5314,-102,16,-8
32767,20176,6152,44,-56,-11,24774,4302,5156,-128,23,9
32767,20428,6120,-25,-52,-30,24764,3890,5160,-109,18,16
32767,20128,6066,-74,-52,-38,24808,3844,5240,-59,22,1
32767,20122,6046,-14,-54,2,24796,4102,5334,-30,26,-1
32767,20320,5972,12,-50,26,24658,4170,5328,-24,34,15
32767,20510,5960,-41,-37,6,24506,4060,5248,-11,28,22
32767,20226,5880,-112,-13,-8,24608,4034,5280,22,8,11
32767,19906,5972,-110,8,-2,24856,4498,5132,49,8,3
32767,19982,6200,-65,5,6,24850,4700,5354,14,14,3
32767,20018,6470,-36,-20,14,24740,4606,5272,-10,22,11
32767,19836,6284,-47,-48,19,24752,4370,5168,-18,12,13
32767,19724,6014,-49,-49,2,25098,4320,5270,-2,7,9
32767,19910,5852,-23,-36,-4,25350,4580,5296,3,24,10
32767,19828,6186,-35,-31,23,25186,4860,5328,-36,57,13
32767,19790,6430,-39,-40,-2,24740,4752,5332,-83,70,18
32767,19614,6428,-42,-54,-8,24582,4398,5186,-106,52,15
32767,19594,6250,-4,-68,17,24784,4334,5214,-96,45,4
32767,19872,6060,16,-73,4,24774,4368,5286,-97,49,4
32767,20056,5946,-25,-54,-25,24662,4360,5314,-100,55,8
32767,20080,6134,-25,-35,-16,24504,4164,5206,-112,43,3
32767,20106,6154,-3,-36,-10,24440,4100,5160,-103,32,3
32767,20316,6248,24,-44,-2,24646,3832,5150,-90,11,10
32767,20382,6374,5,-57,12,24834,3830,5318,-44,9,5
